ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,150777,0,Hiding,0,112921,116551,OK wait. Can you touch the apple? Where's the apple?,apple,  
1,205557,0,Cat,1,117212,0,,  ,selects
2,320463,0,Go Fish (?),2,118998,0,Good job!,n/a,
3,367851,0,This.,3,121540,129388,Ooh. Do you know what an artichoke is? Artichoke. It's kind of green. It's a green one. Can you see the green one?,artichoke,
4,383361,0,Donkey.,4,129690,0,,  ,selects
,,,,5,131538,0,Great job!,n/a,
,,,,6,133941,135857,Can you touch the apple again? Where's the apple?,apple,
,,,,7,137280,0,,  ,selects
,,,,8,138270,0,Yeah! Good job.,n/a,
,,,,9,139836,146008,Can you touch the artichoke? It's the green one.  Artichoke. Artichoke.,artichoke,
,,,,10,144507,0,,  ,selects
,,,,11,147279,150776,Good job!,n/a,
,,,,12,150777,0,"She's hiding, yeah.",n/a,
,,,,13,165359,169606,Can you touch the swan? It's the white one. Swan?,swan,
,,,,14,170412,0,,  ,selects
,,,,15,172227,0,Woah!,n/a,
,,,,16,174008,175097,Can you touch the elephant?,elephant,
,,,,17,176121,0,,  ,selects
,,,,18,179454,181332,How about the peacock? Peacock.,peacock,
,,,,19,182490,0,,  ,selects
,,,,20,184767,0,Great job!,n/a,
,,,,21,186665,187509,Can you touch the bird?,bird,
,,,,22,188991,0,,  ,selects
,,,,23,192363,194629,Ooh! Lobster. Lobster.,lobster,
,,,,24,196119,0,,  ,selects
,,,,25,199911,200652,How about the cat?,cat,
,,,,26,202818,0,,  ,selects
,,,,27,204699,0,Meow!,n/a,
,,,,28,207207,0,The peacock!,peacock,
,,,,29,208230,0,,  ,selects
,,,,30,212218,214020,The horse! Where's the horse?,horse,
,,,,31,214830,0,,  ,selects
,,,,32,216645,0,Neigh!,n/a,  
,,,,33,217998,219656,Oh! How about the lobster? Lobster.,lobster,
,,,,34,221595,0,,  ,selects
,,,,35,223113,0,Great job,n/a,
,,,,36,224296,226213,How about the dog? The dog.,dog,
,,,,37,227304,0,,  ,selects
,,,,38,230175,0,Do you know where the raccoon is? Raccoon. Where's the raccoon?,raccoon,
,,,,39,235851,0,,,selects
,,,,40,239745,0,Raccoon is like this...,n/a,
,,,,41,243540,0,How about the cow?,co,  
,,,,42,243837,0,,,selects
,,,,43,246939,0,The swan? The swan.,swan,
,,,,44,248193,0,,  ,selects
,,,,45,248754,0,"No, that was a cheetah",n/a,
,,,,46,250173,0,Cat!,cat,
,,,,47,253836,0,,  ,selects
,,,,48,257598,0,Squirrel!,squirrel,  
,,,,49,259842,0,,  ,selects
,,,,50,261426,0,This is racoon and peacock. That's squirrel,squirrel,
,,,,51,263967,0,How about the duck?,duck,  
,,,,52,264660,0,,,selects
,,,,53,266574,0,You have to wait for mama,  ,  
,,,,54,268950,0,How about raccoon? Where's the raccoon?,raccoon,
,,,,55,272481,0,,  ,selects
,,,,56,276144,0,Pig? Pig.,pig,
,,,,57,278619,0,,  ,selects
,,,,58,280401,0,Is this the pig?,pig,
,,,,59,283041,0,Rooster!,rooster,
,,,,60,283833,0,,  ,selects
,,,,61,285450,0,How about the bird?,bird,
,,,,62,289542,0,,,selects
,,,,63,293304,0,Leopard.,leopard,
,,,,64,294690,0,,  ,selects
,,,,65,299904,0,Cow.,cow,
,,,,66,302907,0,,  ,selects
,,,,67,303765,0,Rhinocerous. Rhino! Where's the rhino!,rhinocerous,
,,,,68,310101,0,,  ,selects
,,,,69,314028,0,Elephant. Elephant.,elephant,
,,,,70,317262,0,,  ,selects
,,,,71,319308,0,Donkey.,donkey,
,,,,72,321915,0,,  ,selects
,,,,73,323730,0,"No no no no. Donkey! No, that's the lobster",donkey,
,,,,74,324918,0,The duck! The duck.,duck,  
,,,,75,329241,0,,  ,selects
,,,,76,331089,0,"That's not a duck. Wait for momma, OK?",duck,
,,,,77,334224,0,Where's the rhino? Yeah.,rhinocerous,
,,,,78,339108,0,,  ,selects
,,,,79,343431,0,Dog. Dog.,dog,
,,,,80,346500,0,,  ,selects
,,,,81,349767,355014,Squirrel. Squirrel. Yeah!,squirrel,
,,,,82,352638,0,,  ,selects
,,,,83,355014,0,Fishy!,fish,
,,,,84,358413,0,,,selects
,,,,85,360063,0,Rooster. Which one's the rooster? Rooster. Yeah.,rooster,
,,,,86,369237,0,,  ,selects
,,,,87,373527,0,Horse?,horse,
,,,,88,374517,0,,  ,selects
,,,,89,375111,0,Neigh!,horse,  
,,,,90,377058,0,Donkey! Donkey. Do you know what a donkey is?,donkey,  
,,,,91,380820,0,,  ,selects
,,,,92,381942,0,That's a lobster.,donkey,
,,,,93,382833,382833,Fish!,fish,
,,,,94,388575,0,,  ,selects
,,,,95,392898,0,Leopard! Where's the leopard. Wait wait wait wait. This one's a swan. Where's the leopard?,leopard,
,,,,96,399069,0,,  ,selects
,,,,97,399696,0,"No no no no, silly",leopard,
,,,,98,402468,0,Pig! Pig. Touch the pig.,pig,
,,,,99,404679,0,,  ,selects
