ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,117430,0,"It's right here",0,106410,0,"","","selects",
1,129030,0,"Www!",1,109857,0,"Touch the artichoke","artichoke","",
2,153780,0,"Ha!",2,112081,0,"","","selects",
3,316701,0,"Cock-a-doodle-doo!",3,115599,0,"Where's the apple?","apple","",
,,,,4,118800,0,"Touch it","apple","",
,,,,5,119460,0,"","","selects",
,,,,6,121019,0,"Right","n/a","",
,,,,7,122562,0,"Where's the artichoke?","artichoke","",
,,,,8,124383,0,"","","selects",
,,,,9,124938,0,"Yeah, that's the artichoke","n/a","",
,,,,10,131835,0,"Elephant. Where's the elephant?","elephant","",
,,,,11,133419,0,"Touch it","elephant","",
,,,,12,134244,0,"","","selects",
,,,,13,134560,0,"Yay!","n/a","",
,,,,14,135590,0,"Hahaha! It made a funny noise!","n/a","",
,,,,15,137181,0,"Donkey. Where's the donkey?","donkey","",
,,,,16,139603,0,"","","selects",
,,,,17,141570,0,"Hee-haw","n/a","",
,,,,18,144012,0,"Meow meow! Kitty cat","cat","",
,,,,19,145101,0,"","","selects",
,,,,20,148311,0,"Swan. It's a bird","swan","",
,,,,21,151107,0,"","","selects",
,,,,22,154902,0,"Duck. Where's the duck?","duck","",
,,,,23,157179,0,"","","selects",
,,,,24,158598,0,"Quack quack quack!","n/a","",
,,,,25,160875,0,"Peacock. It's a bird","peacock","",
,,,,26,162558,0,"","","selects",
,,,,27,162987,0,"Yeah","n/a","",
,,,,28,165990,0,"Dog woof woof! Where's the doggie?","dog","",
,,,,29,168069,0,"","","selects",
,,,,30,171534,0,"Raccoon. Where's the racoon?","raccoon","",
,,,,31,174046,0,"","","selects",
,,,,32,178233,0,"Horse! Neigh!","horse","",
,,,,33,179982,0,"","","selects",
,,,,34,182787,0,"The horse doesn't say moo!","n/a","",
,,,,35,184338,0,"Where's the donkey?","donkey","",
,,,,36,186549,0,"Hee-haw","n/a","",
,,,,37,186615,0,"","","selects",
,,,,38,190344,0,"Bird! Tweet tweet! Where's the bird?","bird","",
,,,,39,193116,0,"","","selects",
,,,,40,193578,0,"Touch it","bird","",
,,,,41,194981,0,"Aw, that wasn't the bird","n/a","",
,,,,42,197109,0,"Rhinoceros. Where's the rhino?","rhinoceros","",
,,,,43,199782,0,"","","selects",
,,,,44,203445,0,"Fish. Where's the fish?","fish","",
,,,,45,205826,0,"","","selects",
,,,,46,208989,0,"Can you touch the racoon?","raccoon","",
,,,,47,211959,0,"","","selects",
,,,,48,215854,0,"Can you touch the piggie?","pig","",
,,,,49,218724,0,"","","selects",
,,,,50,219615,0,"Oink oink!","n/a","",
,,,,51,221958,0,"Squirrel. Can you touch the squirrel?","squirrel","",
,,,,52,225159,0,"","","selects",
,,,,53,226002,0,"Woah that was a fun sound!","n/a","",
,,,,54,228393,0,"Cow! Moo! Touch the cow","cow","",
,,,,55,230967,0,"","","selects",
,,,,56,231858,0,"Moo","n/a","",
,,,,57,234333,0,"Rooster. Where's the rooster?","rooster","",
,,,,58,237435,0,"","","selects",
,,,,59,239019,0,"Cock-a-doodle-doo!","n/a","",
,,,,60,241194,0,"Where's the bird? Can you touch the bird?","bird","",
,,,,61,244563,0,"","","selects",
,,,,62,245223,0,"Oh, that's not the bird!","n/a","",
,,,,63,247929,0,"Where's the lobster? Touch the lobster","lobster","",
,,,,64,251361,0,"","","selects",
,,,,65,252648,0,"That's a donkey","n/a","",
,,,,66,255090,0,"Where's the pig?","pig","",
,,,,67,256839,0,"","","selects",
,,,,68,260337,0,"Where's the peacock?","peacock","",
,,,,69,261747,0,"Can you touch the peacock?","peacock","",
,,,,70,263604,0,"","","selects",
,,,,71,264759,0,"Ooh, yeah, peacock has big pretty feathers!","n/a","",
,,,,72,267498,0,"Where's the doggie? Can you touch the doggie?","dog","",
,,,,73,271293,0,"","","selects",
,,,,74,272184,0,"That's not the doggie! That's a kitty cat!","n/a","",
,,,,75,276177,0,"Where's the leopard?","leopard","",
,,,,76,277629,0,"","","selects",
,,,,77,278242,0,"Yes, the leopard. Like in our book, huh?","n/a","",
,,,,78,281820,0,"Cow. Moo","cow","",
,,,,79,283767,0,"","","selects",
,,,,80,287073,0,"Lobster. It's red.","lobster","",
,,,,81,288915,0,"","","selects",
,,,,82,289146,0,"Yeah","n/a","",
,,,,83,292262,0,"Elephant. Can you touch the elephant?","elephant","",
,,,,84,294525,0,"","","selects",
,,,,85,297660,0,"Where's the swan? It's white. It's a big white bird","swan","",
,,,,86,301191,0,"","","selects",
,,,,87,305019,0,"That's not the swan! It's a leopard","n/a","",
,,,,88,305350,0,"Where's the kitty cat? Meow meow!","cat","",
,,,,89,308154,0,"","","selects",
,,,,90,309012,0,"Meow!","n/a","",
,,,,91,311421,0,"Where's the rooster? Cock-a-doodle-doo!","rooster","",
,,,,92,314028,0,"","","selects",
,,,,93,317846,0,"Where's the horse?","horse","",
,,,,94,320034,0,"","","selects",
,,,,95,323070,0,"Touch the leopard","leopard","",
,,,,96,324951,0,"","","selects",
,,,,97,328284,0,"Can you touch the fish?","fish","",
,,,,98,330495,0,"","","selects",
,,,,99,333564,0,"Squirrel","squirrel","",
,,,,100,336072,0,"","","selects",
,,,,101,339570,0,"Duck","duck","",
,,,,102,341512,0,"","","selects",
,,,,103,344718,0,"Rhinoceros. The rhino","rhinoceros","",
,,,,104,347523,0,"","","selects",
,,,,105,348018,0,"That's not a rhino","n/a","",
