ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,66396,0,Haha,0,12255,0,Can you tap the apple?,apple,
1,75735,0,Haha,1,15740,0,,,selects
2,90750,0,Haha,2,15747,0,No the apple,n/a,
3,108372,0,Haha!,3,18579,0,Can you tap the artichoke?,artichoke,
4,115302,0,Haha,4,21549,0,Which one's the artichoke?,artichoke,
5,122133,0,Haha!,5,23463,0,What's that?,artichoke,
6,129789,0,Haha!,6,27192,0,,,selects
7,144804,0,Haha!,7,27621,0,That's the asparagus,artichoke,
8,162261,0,Haha!,8,29634,0,Alright can you tap the apple? With the leaf on it?,apple,
9,170808,0,Www!,9,33264,0,,,selects
10,192873,0,Haha,10,33825,0,"Good job, Benny!",n/a,
11,200475,0,Haha,11,36267,0,"OK, can you tap the artichoke? It's green. Can you tap the green artichoke? In the middle",artichoke,
12,210474,0,Haha,12,42702,0,,,selects
13,220282,0,Haha!,13,43362,0,Good job,n/a,
14,228723,0,Haha!,14,53229,0,"Alright, where's the cat?",cat,
15,235092,0,Haha!,15,55968,0,,,selects
16,242880,0,Haha!,16,59694,0,Can you find the squirrel? Where's the squirrel?,squirrel,
17,249513,0,Haha!,17,63789,0,,,selects
18,256875,0,The water!,18,67980,0,Where's the elephant? The gray elephant with the long trunk,elephant,
19,264891,0,Haha!,19,73032,0,,,selects
20,300267,0,Haha!,20,73326,0,There he is!,elephant,
21,314820,0,Haha,21,76692,0,"OK, which one's the spotted leopard? The leopard with the spots on it and the long tail",leopard,
22,337095,0,Haha!,22,84513,0,That's a swan. Can you find the leopard?,leopard,
23,343728,0,Haha,23,87707,0,,,selects
24,349451,0,Hahah!,24,88968,0,"Ooh, rawr!",n/a,
25,359799,0,Haha,25,91674,0,Alright where's the cow? where's the cow?,cow,
26,362769,0,Hee-haw!,26,96987,0,,,selects
27,371448,0,Neigh!,27,97911,0,"No, that's the horsie",n/a,
28,374121,0,Neigh!,28,100287,0,"OK, where's the rhinoceros? Where's the rhino with the horns on his nose?",rhinoceros,
29,376298,0,Neigh!,29,105270,0,,,selects
30,382833,0,Hee-haw!,30,109527,0,OK Benny which one's the bird?,bird,
,,,,31,112992,0,,,selects
,,,,32,116391,0,Tweet tweet,n/a,
,,,,33,117258,0,OK where's the peacock? The pretty peacock?,peacock,
,,,,34,119777,0,,,selects
,,,,35,120879,0,Nice feathers,n/a,
,,,,36,124278,0,OK where's the dog?,dog,
,,,,37,126819,0,,,selects
,,,,38,127479,0,Oh he has a green collar!,n/a,
,,,,39,131175,0,"OK, where's the rooster?",rooster,
,,,,40,134475,0,,,selects
,,,,41,135234,0,That's a swan,swan,
,,,,42,138732,0,"OK, where's the fish?",fish,
,,,,43,142494,0,,,selects
,,,,44,143682,0,Bloop bloop,fish,
,,,,45,148137,0,Where is the raccoon?,raccoon,
,,,,46,151556,0,,,selects
,,,,47,152489,0,That's a squirrel,raccoon,
,,,,48,156024,0,Benny can you find the cat?,cat,
,,,,49,159852,0,,,selects
,,,,50,160314,0,Aww,n/a,
,,,,51,164007,0,"OK, now let's try the rooster again. Remember that's a swan. Do you remember what that one is?",rooster,
,,,,52,171600,0,That's like a tiger but it's a leopard. So which one's the rooster? Which one says cock-a-doodle-doo? Where's the rooster?,rooster,
,,,,53,184309,0,Where's the rooster? That's the rooster! See how it has on the top of its head--,rooster,
,,,,54,188760,0,,,selects
,,,,55,191095,0,Cock-a-doodle-doo!,rooster,
,,,,56,193875,0,OK where's the pink piggie?,pig,
,,,,57,198570,0,,,selects
,,,,58,202225,0,"Alright now, where's the raccoon? With the black striped tail",raccoon,
,,,,59,208296,0,,,selects
,,,,60,208296,0,That's it!,raccoon,
,,,,61,212253,0,Do you like this?,n/a,
,,,,62,213048,0,"OK, are you having fun?",n/a,
,,,,63,215787,0,Can you find the elephant? With the tusks?,elephant,
,,,,64,218427,0,,,selects
,,,,65,219318,0,Good,n/a,
,,,,66,221958,0,Oh! Now where's the lobster? He has claws,lobster,
,,,,67,226406,0,,,selects
,,,,68,226479,0,That's it! He lives in the water,lobster,
,,,,69,230472,0,Where's the horse?,horse,
,,,,70,232617,0,,,selects
,,,,71,234993,0,Neigh!,horse,
,,,,72,237270,0,Alright now where's the rhinoceros?,rhinocerous,
,,,,73,240933,0,,,selects
,,,,74,240933,0,That's it!,rhinocerous,
,,,,75,244893,0,What about the duck?,duck,
,,,,76,247599,0,,,selects
,,,,77,251394,0,OK can you find the lobster again? The red lobster?,lobster,
,,,,78,254628,0,,,selects
,,,,79,255420,0,Mhm!,n/a,
,,,,80,257796,0,Yeah he lives in the water that's right,lobster,
,,,,81,260931,0,Where is the dog?,dog,
,,,,82,263406,0,,,selects
,,,,83,264165,0,Good,n/a,
,,,,84,267531,0,Alright now where's the swan?,swan,
,,,,85,271194,0,,,selects
,,,,86,272019,273503,"No, remember that's the rooster",swan,
,,,,87,275484,0,Where's the horse?,horse,
,,,,88,278223,0,,,selects
,,,,89,278883,0,"No, that's the cow",horse,
,,,,90,282414,0,Alright can you find the squirrel? Where's the squirrel with the bushy tail?,squirrel,
,,,,91,291060,0,,,selects
,,,,92,291093,0,That's it!,n/a,
,,,,93,293205,0,He likes acorns,squirrel,
,,,,94,295944,0,OK where's the bird?,bird,
,,,,95,298188,0,,,selects
,,,,96,299277,0,Chirp chirp,bird,
,,,,97,301983,0,Can you find that leopard again?,leopard,
,,,,98,305481,0,,,selects
,,,,99,306009,0,"Nope, that's the rooster",leopard,
,,,,100,310134,0,Alright where's the pig?,pig,
,,,,101,312873,0,,,selects
,,,,102,316932,0,"Alright now, we're gonna find the swan. Remember the swan is white and very pretty",swan,
,,,,103,326819,0,,,selects
,,,,104,326919,0,That's it! Nice swan!,swan,
,,,,105,330726,0,Now where's that fish?,fish,
,,,,106,334257,0,,,selects
,,,,107,334323,0,There it is. Ooh he lives in the water too!,fish,
,,,,108,338283,0,Can you find the pretty peacock? With all those nice feathers?,peacock,
,,,,109,341403,0,,,selects
,,,,110,342441,0,Good!,n/a,
,,,,111,345180,0,Where's the duck?,duck,
,,,,112,347655,0,,,selects
,,,,113,347721,0,Look at his webbed feet,duck,
,,,,114,350922,0,He says quack quack,duck,
,,,,115,352275,0,OK here's a new one: Which one's the donkey?,donkey,
,,,,116,357885,0,,,selects
,,,,117,357918,0,That's it!,n/a,
,,,,118,360657,0,He says hee-haw,donkey,
,,,,119,363132,0,Hee-haw!,donkey,
,,,,120,363990,0,Where's the cow?,cow,
,,,,121,367482,0,,,selects
,,,,122,368409,0,That's a horsie!,cow,
,,,,123,372593,0,We need the donkey. Can you find the donkey?,donkey,
,,,,124,377091,0,The horse says?,n/a,
,,,,125,379075,0,Neigh!,n/a,
,,,,126,381174,0,,,selects
,,,,127,381447,0,Hee-haw,donkey,
,,,,128,383526,0,That's it! The end,n/a,
