ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,122925,0,cat!,0,101277,0,Artichoke,artichoke,
1,192918,0,oh!,1,104808,0,,,selects
2,199485,0,Rawr!,2,104841,0,Wrong one.,artichoke,
3,205590,0,Oh! Papa!,3,106128,0,Can you touch the apple?,apple,
4,220440,0,Oh!,4,108306,0,,,selects
5,241230,0,Yay!,5,109098,0,"Good job, two.",apple,
6,248325,0,Uhoh!,6,111342,0,Can you touch the artichoke?,artichoke,
7,257334,0,Neigh!,7,112662,0,,,selects
8,276177,0,hee haw,8,114411,0,No,artichoke,
9,284526,0,Wow!,9,122364,0,Can you touch the bird?,bird,
10,290499,0,hee haw,10,122364,0,,,selects
11,306636,0,Meow!,11,124377,0,"No, that's the cat! Hold on, two. ",,
12,318021,0,Neigh!,12,126489,0,Can you touch the squirrel? Can you touch the squirrel?,squirrel,
13,331188,0,Moo!,13,128502,0,,,selects
,,,,14,129459,0,"Oh, that's good! That's the squirrel.",squirrel,
,,,,15,131769,0,Can you touch the bird? Where's the bird?,bird,
,,,,16,134112,0,,,selects
,,,,17,135861,0,"Good job, two!",n/a,
,,,,18,138105,0,Can you touch the swan? Which one's the swan?,swan,
,,,,19,142626,0,,,selects
,,,,20,143682,0,"That's the swan! Good job, two!",swan,
,,,,21,146487,0,Let's touch the fish. Where's the fish?,fish,
,,,,22,149160,0,,,selects
,,,,23,150084,0,There go the fish!,fish,
,,,,24,152559,0,Let's touch the rhinoceros! Who's the rhinoceros?,rhinoceros,
,,,,25,156618,0,,,selects
,,,,26,157146,0,"No, that's a lobster. That's a lobster, two.",rhinoceros,
,,,,27,160017,0,That's a cat! Meow.,cat,
,,,,28,161700,0,,,selects
,,,,29,162822,0,"Meow. Yeah, two! Good job!",cat,
,,,,30,166155,0,Let's touch the raccoon. No...,raccoon,
,,,,31,169950,0,,,selects
,,,,32,170478,0,There goes the raccoon. There we go. Good job.,raccoon,
,,,,33,174636,177210,Let's touch the cow. What the cow say? What's the cow say?,cow,
,,,,34,177210,0,,,selects
,,,,35,178662,0,Moo.,cow,
,,,,36,181500,0,Let's touch the lobster. Can you touch the lobster? I just showed you th elobster.,lobster,
,,,,37,185460,0,,,selects
,,,,38,187011,0,That's the donkey. No! Donkey!,lobster,
,,,,39,189783,190872,Can you touch the dog?,dog,
,,,,40,190872,0,,,selects
,,,,41,191829,0,Yeah! There go the dog. Yeah!,dog,
,,,,42,194568,0,Let's touch the swan again! Where's the swan again?,swan,
,,,,43,197109,0,,,selects
,,,,44,197604,0,No...,swan,
,,,,45,201663,203709,Let's touch the duck. What does the duck say?,duck,
,,,,46,203709,0,,,selects
,,,,47,204864,0,Yeah! Yeah!,n/a,
,,,,48,207834,0,Where's the rhinoceros?,rhinoceros,
,,,,49,209814,0,,,selects
,,,,50,210738,0,"No, that's the donkey! That's the donkey!",rhinoceros,
,,,,51,214137,0,Can we touch the pig? The pig. What does the pig say?,pig,
,,,,52,217371,0,,,selects
,,,,53,218625,0,"Good job, two.",n/a,
,,,,54,221859,0,Let's touch the leopard. What does the leopard have? The leopard has spots.,leopard,
,,,,55,224301,0,,,selects
,,,,56,225489,0,"Oh no, no, that's the rooster!",leopard,
,,,,57,229284,0,Can you touch the elephant?,elephant,
,,,,58,231165,0,,,selects
,,,,59,232650,0,"Good job! Ooh, you touched the elephant.",elephant,
,,,,60,235719,0,Let's touch the leopard!,leopard,
,,,,61,237732,0,,,selects
,,,,62,238128,0,"No, that's the swan! No, you have to touch the leopard!",leopard,
,,,,63,243672,0,Can you touch the fish?,fish,
,,,,64,244563,0,,,selects
,,,,65,248127,0,Touch the raccoon! You have to touch the raccoon!,raccoon,
,,,,66,250767,0,,,selects
,,,,67,251790,0,There go the raccoon!,raccoon,
,,,,68,254133,0,Can you touch the horse? What does the horse say?,horse,
,,,,69,256410,0,,,selects
,,,,70,257565,0,Neigh! Yeah!,horse,
,,,,71,261063,262449,Can you touch the rooster?,rooster,
,,,,72,262449,0,,,selects
,,,,73,264198,0,That's the rooste!,rooster,
,,,,74,266475,0,Can you touch the elephant?,elephant,
,,,,75,267960,0,,,selects
,,,,76,269841,0,"Oooh, yeah!",n/a,
,,,,77,271722,0,Touch the donkey! Touch the donkey. What the donkey say? Hee haw.,donkey,
,,,,78,275154,0,,,selects
,,,,79,277332,0,Hee haw.,donkey,
,,,,80,279411,0,"Let's touch the duck. What the duck say? The duck? No, no, duck duck!",duck,
,,,,81,282117,0,,,selects
,,,,82,285384,0,Yeah! Duck duck.,duck,
,,,,83,287397,0,Let's touch the donkey. What's the donkey say? Hee haw,donkey,
,,,,84,290004,0,,,selects
,,,,85,291456,0,Hee haw.,donkey,
,,,,86,294294,0,"Touch the piggy! No, touch the piggy.",pig,
,,,,87,296505,0,,,selects
,,,,88,300069,0,Touch the rooster. Let's touch the rooster.,rooster,
,,,,89,302016,0,,,selects
,,,,90,303765,0,"Oh, there go the rooster!",rooster,
,,,,91,305679,0,Let's touch the cat!,cat,
,,,,92,306933,0,,,selects
,,,,93,308649,0,Meow!,cat,
,,,,94,310035,312444,"Let's touch the peacock! No, the peacock!",peacock,
,,,,95,312444,0,,,selects
,,,,96,313203,0,"That's the squirrel, da-da.",peacock,
,,,,97,315282,0,Let's touch the horse! What does the horse say?,horse,
,,,,98,317658,0,,,selects
,,,,99,319836,0,"Good job, two!",n/a,
,,,,100,320793,0,Touch the squirrel! Can you touch the squirrel?,squirrel,
,,,,101,322872,0,,,selects
,,,,102,323730,0,Yeah! That's the squirrel!,squirrel,
,,,,103,325710,0,Let's touch the cow again!,cow,
,,,,104,328317,0,,,selects
,,,,105,329142,0,Moo! Moo!,cow,
,,,,106,332310,0,Let's touch the peacock.,peacock,
,,,,107,334224,0,,,selects
,,,,108,335082,0,"No, that's the raccoon. That's the raccoon, two!",peacock,
,,,,109,338547,0,Can you touch the dog?,dog,
,,,,110,340890,0,,,selects
,,,,111,342540,0,There goes the dog!,dog,
,,,,112,344718,0,Let's touch the lobster. Can you touch the lobser?,lobster,
,,,,113,347193,0,,,selects
,,,,114,347193,0,You got the lobster! Yeah!,lobster,
