ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,12474,0,Fruit!,0,11253,0,"What's on your screen there, Buddy?",apple,
1,16104,0,Right there.,1,15147,0,Where's the apple? Can you tap the apple?,apple,
2,26664,0,laughs,2,19107,0,,   ,selects
3,29667,0,yes!,3,20031,0,Good job!,n/a,
4,38478,0,There,4,23067,0,Ooh! How about the artichoke? Is that a funny word? That's a funny word? Do you know which one is the artichoke? Which one do you think is the artichoke? That one? What do you think that's called? Ok,artichoke,
5,44550,0,artichoke!,5,41811,0,,   ,selects
6,51117,0,There!,6,46464,0,What's next? That's a lot of fruit! Do you see the apple? Do you see the red  apple? Can you tap on the apple?,apple,
7,58806,0,Fruit!,7,54450,0,,   ,selects
8,65901,0,There!,8,55869,0,Yay!,n/a,
9,72468,0,Nope!,9,60225,0,Yeah! does that look familiar for any of them? Do you see an artichoke? Is that the asparagus?,artichoke,
10,85866,0,Cat!,10,70851,0,,   ,selects
11,101442,0,Horse,11,75702,0,"OK, ready, Good job",n/a,
12,116358,0,Duck,12,80718,0,"Here's some more. Let's see... meow. What says meow? That's right, the cat! Can you tap on the cat?",cat,
13,128667,0,pig,13,89694,0,,,selects
14,142098,0,fish,14,91476,0,He meowed at you!,n/a,
15,160281,0,Yes!,15,94677,0,Look at all those animals. Ra-raccoon,raccoon,
16,180213,0,Fish,16,95370,0,,,selects
17,189750,0,Right there!,17,95766,0,"Ra-raccoon, Okay!",raccoon,
18,196878,0,*yelled something*,18,96921,0,What says neigh?,horse,
19,200805,0,doggie,19,101508,0,,   ,selects
20,213345,0,the bird!,20,102267,0,That's right!,n/a,
21,221166,0,Whoops!,21,106854,0,"Woah, do you see a rhinocerous?",rhinocerous,
22,226050,0,Raccoon,22,109230,0,,   ,selects
23,228987,0,Horse,23,112068,0,"Quack, quack, quack. What says quack quack quack? The duck!",Duck,
24,240504,0,Right there!,24,116358,0,,   ,selects
25,249645,0,Book!,25,119889,125565,Cocka-doodle-doo!,rooster,
26,252054,0,Duck,26,121341,0,,   ,selects
