ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,118140,0,"Artichoke",0,110008,0,"Wait. Wait wait wait.","n/a","",
1,125679,0,"Apple",1,110955,0,"Apple. No wait wait. Where's the apple?","apple","",
2,127116,0,"Www",2,111870,0,"","","selects",
3,130845,0,"Www",3,113058,0,"Oops. We're trying here.","n/a","",
4,173019,0,"Www!",4,116028,0,"Where's the artichoke?","artichoke","",
5,265749,0,"Www",5,119427,0,"","","selects",
6,282876,0,"Fishie!",6,122001,0,"OK, wait, where's the apple?","apple","",
7,320595,0,"Moo!",7,123387,0,"Apple. Apple","apple","",
8,325743,0,"Www!",8,125136,0,"","","selects",
,,,,9,128733,0,"Where's the artichoke?","artichoke","",
,,,,10,130185,0,"","","selects",
,,,,11,136818,0,"Wait","n/a","",
,,,,12,138204,0,"Where's the lobster?","lobster","",
,,,,13,140679,0,"","","selects",
,,,,14,143814,0,"Where's the kitty?","cat","",
,,,,15,145431,0,"","","selects",
,,,,16,146322,0,"Meow","n/a","",
,,,,17,148599,0,"Where's the leopard?","leopard","",
,,,,18,150513,0,"","","selects",
,,,,19,153912,0,"Where's the horsey? Where's the horsey?","horse","",
,,,,20,156420,0,"","","selects",
,,,,21,159819,0,"Where's the donkey?","donkey","",
,,,,22,162954,0,"","","selects",
,,,,23,166353,0,"Where's the cow? Where's the cow? Moo","cow","",
,,,,24,170719,0,"Where's the cow?","cow","",
,,,,25,170742,0,"","","selects",
,,,,26,173646,0,"Xxx","n/a","",
,,,,27,175824,0,"Where's the swan?","swan","",
,,,,28,176484,0,"","","selects",
,,,,29,177012,0,"OK","n/a","",
,,,,30,180279,0,"Where's the birdie? Where's the birdie?","bird","",
,,,,31,184386,0,"","","selects",
,,,,32,184965,0,"Tweet tweet tweet!","n/a","",
,,,,33,187737,0,"Where's the rhinoceros?","rhinoceros","",
,,,,34,190542,0,"","","selects",
,,,,35,194139,0,"Where's the piggie? Piggie piggie!","pig","",
,,,,36,196713,0,"","","selects",
,,,,37,200343,0,"Where's the rooster?","rooster","",
,,,,38,202290,0,"","","selects",
,,,,39,206481,0,"Where's the duckie? Duckie","duck","",
,,,,40,209781,0,"","","selects",
,,,,41,213510,0,"Where's the squirrel?","squirrel","",
,,,,42,216513,0,"","","selects",
,,,,43,217098,0,"No","n/a","",
,,,,44,219978,0,"Where's the fishie?","fish","",
,,,,45,221430,0,"","","selects",
,,,,46,225060,0,"Where's the lobster?","lobster","",
,,,,47,227898,0,"","","selects",
,,,,48,231363,0,"Where's the horsey?","horse","",
,,,,49,233145,0,"","","selects",
,,,,50,234292,0,"Neigh!","n/a","",
,,,,51,236676,0,"Where's the raccoon?","raccoon","",
,,,,52,238953,0,"","","selects",
,,,,53,242385,0,"Where's the piggie? Piggie piggie","pig","",
,,,,54,245289,0,"","","selects",
,,,,55,248787,0,"Where's the squirrel?","squirrel","",
,,,,56,250371,0,"","","selects",
,,,,57,253737,0,"Where's the elephant? Elephant","elephant","",
,,,,58,256292,0,"","","selects",
,,,,59,257433,0,"Xxx!","n/a","",
,,,,60,260601,0,"Where's the swan?","swan","",
,,,,61,262548,0,"","","selects",
,,,,62,265914,0,"Where's the doggie? Doggie","dog","",
,,,,63,268296,0,"","","selects",
,,,,64,268521,0,"Woof woof!","n/a","",
,,,,65,271623,0,"Where's the donkey?","donkey","",
,,,,66,273867,0,"","","selects",
,,,,67,277629,0,"Where's the fishie?","fish","",
,,,,68,279675,0,"","","selects",
,,,,69,283992,0,"Fishie fishie","fish","",
,,,,70,284559,0,"Where's the rhinoceros?","rhinoceros","",
,,,,71,286935,0,"","","selects",
,,,,72,290268,0,"Where's the elephant? Elephant","elephant","",
,,,,73,292854,0,"","","selects",
,,,,74,296538,0,"Where's the peacock?","peacock","",
,,,,75,299739,0,"","","selects",
,,,,76,303204,0,"Where's the kitty?","cat","",
,,,,77,305655,0,"","","selects",
,,,,78,305943,0,"Meow","n/a","",
,,,,79,308979,0,"Where's the raccoon?","raccoon","",
,,,,80,311388,0,"","","selects",
,,,,81,314688,0,"Where's the cow? Moo","cow","",
,,,,82,318318,0,"","","selects",
,,,,83,321009,0,"Moo","n/a","",
,,,,84,321948,0,"Where's the peacock?","peacock","",
,,,,85,324027,0,"","","selects",
,,,,86,327789,0,"Where's the--nuh-uh--where's the duckie? Duckie","duck","",
,,,,87,331031,0,"","","selects",
,,,,88,332112,0,"Quack quack!","n/a","",
,,,,89,334818,0,"Where's the leopard?","leopard","",
,,,,90,337491,0,"","","selects",
,,,,91,340956,0,"Where's the birdie?","bird","",
,,,,92,342555,0,"","","selects",
,,,,93,343167,0,"Tweet tweet!","n/a","",
,,,,94,345213,0,"Where's the rooster?","rooster","",
,,,,95,346995,0,"","","selects",
,,,,96,349239,0,"Cock-a-doodle-doo","n/a","",
,,,,97,351219,0,"Where's the doggie? Doggie.","dog","",
,,,,98,353529,0,"","","selects",
