ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
,,,,42,515229,0,"","","selects",
,,,,43,516648,0,"That's a crab?Yeah, it looks like a crab.","lobster","",
,,,,44,519453,521598,"Where's the horsey?","horse","",
,,,,45,521598,0,"","","selects",
,,,,46,525888,0,"Where's the swan? Do you see a swan, Michael? Can you press the swan?","swan","",
,,,,47,531168,0,"","","selects",
,,,,48,532191,0,"Good job","n/a","",
,,,,49,535029,0,"Do you see a cat?","cat","",
,,,,50,537075,0,"","","selects",
,,,,51,540177,0,"Where's the rooster now? He's moving.","rooster","",
,,,,52,542289,0,"","","selects",
,,,,53,544137,0,"Good Job.","n/a","",
,,,,54,546282,0,"Do you see a duck? Where's the duck at? Where's the duck?","duck","",
,,,,55,550473,0,"","","selects",
,,,,56,552189,0,"Good job!","n/a","",
,,,,57,554433,0,"What does a ducky say?","n/a","",
,,,,58,556512,0,"Where's the swan? Do you see the swan again?","swan","",
,,,,59,559185,0,"","","selects",
,,,,60,560109,0,"Good job","n/a","",
,,,,61,563805,0,"Do you see a horse? Where's the horse at? Go press him!","horse","",
,,,,62,569910,0,"","","selects",
,,,,63,571890,0,"Oops, one finger","n/a","",
,,,,64,572847,0,"Where's the squirrel? Where's the squirrel?","squirrel","",
,,,,65,576774,0,"","","selects",
,,,,66,580965,0,"Where's the fish? Do you see the fishy?","fish","",
,,,,67,583341,0,"","","selects",
,,,,68,587301,0,"Where's the donkey? What does the donkey say? No, you're going to play with this one. Where's the donkey?  You have the blue one and Mommy has the green one. Ready? Press that donkey. Where's the donkey?","donkey","",
,,,,69,602778,0,"","","selects",
,,,,70,606375,0,"Where's the cow? You want what?","cow","",
,,,,71,615483,0,"","","selects",
,,,,72,615483,0,"You want to do the circles? Well we are going to do the animals.","n/a","",
,,,,73,619344,0,"Where's the peacock? Can you find me the peacock again?","peacock","",
,,,,74,627297,0,"Michael, come back!","n/a","",
,,,,75,635778,0,"I need help finding a peacock on here. Do you want to sit in the window and do it?","peacock","",
,,,,76,645348,0,"Here. Ready? Let's do it right here.  Where's the peacock? OK, you want to do it right there? Where'e the peacock? Press the peacock. This one is Mommy's.  Press the peacock","peacock","",
,,,,77,657570,0,"","","selects",
,,,,78,661881,0,"Where's the pig? Where's the pig, Michael?","pig","",
,,,,79,665577,0,"","","selects",
,,,,80,669372,0,"Where's the rinocerous? Can you press the rhinocerous? Sure, where's the rhinocerous?","rhinocerous","",
,,,,81,677457,0,"","","selects",
,,,,82,677490,0,"Good job","n/a","",
,,,,83,682077,0,"Where's the birdy?","bird","",
,,,,84,684552,0,"","","selects",
,,,,85,688248,0,"Where's the donkey?","donkey","",
,,,,86,690855,0,"","","selects",
,,,,87,693660,0,"Good job!","n/a","",
,,,,88,694419,0,"Hee haw","n/a","",
,,,,89,696102,0,"What about the fish?","fish","",
,,,,90,697884,0,"","","selects",
,,,,91,698973,0,"Good job.","n./a","",
,,,,92,702405,0,"Where's the raccoon? Is that rocky raccoon?","raccoon","",
,,,,93,709434,0,"","","selects",
,,,,94,710490,0,"Did you say the duck?","duck","",
,,,,95,714978,719598,"Oh, it's back. Where's the raccoon? Where's rocky raccoon? Rocky raccoon?","raccoon","",
,,,,96,719598,0,"","","selects",
,,,,97,720885,0,"That's a squirrel.","raccoon","",
,,,,98,723657,0,"Do you see an elephant? Can you press the elephant, please? Oh, you want me to use this? Ok, can you press the elephant for Mommy? No, no, no, where's that elephant?","elephant","",
,,,,99,743325,0,"","","selects",
,,,,100,745008,0,"Uhoh","n/a","",
,,,,101,746625,0,"Where's the lobster?","lobster","",
,,,,102,748803,0,"","","selects",
,,,,103,751509,0,"Where's the cat? Press the kitty cat.","cat","",
,,,,104,754413,0,"","","selects",
,,,,105,758538,0,"A couple more to go. Where's the squirrel? It's almost over!  It's a squirell! Where'd the squirrel go?","squirrel","",
,,,,106,769494,0,"Oh, hurry, get him, tickle, go! Oh, you've got em. Tickle the doggy!","dog","",
,,,,107,777876,0,"","","selects",
,,,,108,779229,0,"The end!","n/a","",
