ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,516217,0,"That's a crab!",0,371646,0,"","","selects",
1,568755,0,"Right there!",1,374805,0,"Can you press the apple?","apple","",
2,591033,0,"Can I play?",2,375705,0,"Oh, good job.","apple","",
3,599713,0,"--muttered something--",3,376464,0,"Wait, baby, wait wait wait","n/a","",
4,610809,0,"I want the circles",4,379632,0,"Can you press...do you know what the artichoke is? Where's the artichoke?","artichoke","",
5,637006,0,"-- Continued mumbling --",5,382503,0,"","","selects",
6,655448,0,"There",6,384021,0,"Was that an artichoke?","artichoke","",
7,659574,0,"Squirrel!",7,385209,0,"Do you know which one is the apple? Where's the apple? Press the apple.","apple","",
8,675598,0,"I go on the floor",8,390819,0,"","","selects",
9,685269,0,"That",9,391875,0,"Good job","n/a","",
10,688961,0,"It goes tweet tweet tweet tweet",10,394911,0,"Do you know where the artichoke is?","artichoke","",
11,695441,0,"hee haw",11,396396,0,"","","selects",
12,716798,0,"Who?",12,398706,0,"Oh, try again.","artichoke","",
13,728838,0,"Who? You use.",13,405075,407516,"Ok, ready? We're gonna try again, okay?","N/A","",
14,768212,0,"Right here!",14,407517,0,"Wait until Mommy tells you what to press, OK? Oh, you're being silly. Ready? We're going to start now. Ready? Here, I'm going to tell you which ones to press.","n/a","",
15,772698,0,"Tickle!",15,423060,0,"Woah, look at all those animals! Do you know what a leopard is? Can you press the leopard? Press the leopard for Mommy. Point to the leopard, please. Where's the leap--","leopard","",
,,,,16,433290,0,"","","selects",
,,,,17,435666,0,"That's not the leopard, what was that?","leopard","",
,,,,18,441804,0,"OK, Ready? Which one's the cow. Show mommy where the cow is.","cow","",
,,,,19,445830,0,"","","selects",
,,,,20,448932,0,"OK, where's the rhinocerous?","rhinocerous","",
,,,,21,454311,0,"","","selects",
,,,,22,457116,0,"Where's the elephant? Show mommy where the elephant is.","elephant","",
,,,,23,461670,0,"","","selects",
,,,,24,463815,0,"Good job!","n/a","",
,,,,25,465795,0,"Where's the rooster?","rooster","",
,,,,26,468072,0,"","","selects",
,,,,27,473253,0,"Where's the doggie? Do you see the dog?","dog","",
,,,,28,476586,0,"","","selects",
,,,,29,478368,0,"That was the kitty cat.","dog","",
,,,,30,479787,0,"Try again. Where's the peacock?","peacock","",
,,,,31,483087,0,"","","selects",
,,,,32,485067,0,"Good job.","n/a","",
,,,,33,487740,0,"Where's the piggy? Where's the pig?","pig","",
,,,,34,488961,0,"","","selects",
,,,,35,491238,0,"Good job.","n/a","",
,,,,36,495504,0,"Where's the leopard? Where's the leopard?","leopard","",
,,,,37,496815,0,"","","selects",
,,,,38,498465,0,"Oops, that was the swan!","leopard","",
,,,,39,501204,0,"Where's the bird?","bird","",
,,,,40,503151,0,"","","selects",
,,,,41,506946,0,"Where's the lobster? Do you see a lobster? Press the lobster, please.","lobster","",
