ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,18700,0,Apple!,0,14756,0,Oh! don't touch.,n/a,
1,19652,0,Apple!,1,17612,0,Do you know which one's the apple? Which one's the apple? Touch the apple,apple,
2,45832,0,green,2,25364,0,,,selects
3,52870,0,Woah,3,26350,0,Only touch what mommy says to touch,apple,
4,62492,0,www,4,28866,0,"Now touch the artichoke. It's green, which one's green? Which one's green?",artichoke,
5,67694,0,www,5,34816,0,,,selects
6,93772,0,meow!,6,34816,0,good job!,artichoke,
7,102544,0,cocka-doodle-doo,7,37604,0,"OK, touch the apple again",apple,
8,107644,0,bird,8,39440,0,,,selects
9,112540,0,yeah!,9,40562,0,Good job OK,apple,
10,118864,0,"meow, meow!",10,43588,0,"Touch the artichoke again? It's green, baby. Yeah, which--",artichoke,
11,124780,0,www,11,45458,0,,,selects
12,138108,0,raccoon!,12,45458,0,Which one's green?,artichoke,
13,149498,0,that one,13,48926,0,"OK, Good job, wait, wait for mommy!",n/a,
14,163370,0,again!,14,52938,0,"rhinoceros, you saw a rhinoceros at the zoo. Which one's the rhinoceros? It's big, it's got horns... which one is it?",rhinoceros,
15,168470,0,walk,15,61914,0,,,selects
16,178024,0,fish,16,61914,0,"not that one, not that one",rhinoceros,
17,181118,0,what's this,17,65450,0,"OK, A cat! Which one's a cat?",cat,
18,185334,0,woah,18,68714,0,,,selects
19,191522,0,yay!,19,68714,0,That was a dog,cat,
20,197540,0,hee-haw!,20,73508,0,"OK, which one's a lobster? it's red. Which one's red?",lobster,
21,203456,0,more fishy,21,75038,0,,,selects
22,223108,0,fishy!,22,77010,0,"No, you're picking whatever you want!",lobster,
23,241026,0,woof woof!,23,79254,81838,"OK, ooh! Wait, let's look at it. Let's look at it first. Which one's a cow.",cow,
24,250138,0,fish!,24,81838,0,,,selects
25,257210,0,fish!,25,85102,0,"Guy, you gotta wait for instructions from mommy, okay?",cow,
26,283477,0,"oh, fish!",26,87584,0,touch the one that's red,lobster,
27,284873,0,uhoh,27,88298,0,,,selects
,,,,28,91324,0,"OK, cat, which one says meow?",cat,
,,,,29,94384,0,,,selects
,,,,30,94384,0,Yay!,cat,
,,,,31,97852,0,"OK, which one's a rooster? Cocka-doodle-doo!",rooster,
,,,,32,99722,0,,,selects
,,,,33,99722,0,Yay!,rooster,
,,,,34,103054,0,"OK, which one's a bird?",bird,
,,,,35,105230,0,,,selects
,,,,36,106148,0,Bird! Good.,bird,
,,,,37,107712,0,A peacock? Which one's another bird? Is that a bird?,peacock,
,,,,38,110704,0,,,selects
,,,,39,111486,0,"A dog, Nope, which one's a dog? Dog.",dog,
,,,,40,116348,0,,,selects
,,,,41,117878,0,"Nope, that was a cat.",dog,
,,,,42,120734,0,"Donkey, which one says hee-haw? hee-haw",donkey,
,,,,43,121754,0,,,selects
,,,,44,123080,0,"alright, yeah, baby",donkey,
,,,,45,127194,0,"OK, wait, let's look at it together. Guy... whoop!",cow,
,,,,46,130458,0,,,selects
,,,,47,130458,0,"OK, you got the cow.",cow,
,,,,48,133382,0,Raccoon! Which--,raccoon,
,,,,49,134980,0,,,selects
,,,,50,138516,0,"Guy, let's look together, come on. Which one is a bird?",bird,
,,,,51,144262,0,,,selects
,,,,52,144262,0,good!,bird,
,,,,53,147900,0,"Sit back. Which one is a squirrel? You just wanna touch the screen, don't you.",squirrel,
,,,,54,150382,0,,,selects
,,,,55,154326,0,"OK, Guy, which one says oink oink?",pig,
,,,,56,155754,0,,,selects
,,,,57,155754,0,Good job,pig,
,,,,58,158474,0,Which one is a white bird?,swan,
,,,,59,160378,0,,,selects
,,,,60,165954,0,Elephant,elephant,
,,,,61,165988,0,,,selects
,,,,62,167416,0,Was that an elephant?,elephant,
,,,,63,169898,0,Leopard.. which one has spots?,leopard,
,,,,64,171224,0,,,selects
,,,,65,171224,0,Alright... you're just touching anything you want...,leopard,
,,,,66,174182,0,"Sit on mommy's lap. Guy, which one's a fish? Fish.",fish,
,,,,67,178126,0,,,selects
,,,,68,182376,0,Which one says hee-haw? hee-,donkey,
,,,,69,183770,0,,,selects
,,,,70,186422,0,Horse. Who says neigh?,horse,
,,,,71,189584,0,,,selects
,,,,72,191760,0,"Neigh, good job!",horse,
,,,,73,192372,0,Which one's a rooster? Rooster. Touch the rooster.,rooster,
,,,,74,195228,0,,,selects
,,,,75,199002,0,Elephant. Which one's an elephant?,elephant,
,,,,76,201654,0,,,selects
,,,,77,203830,0,Good job,elephant,
,,,,78,205122,0,"Squirrel, which one has a long tail?",squirrel,
,,,,79,206652,0,,,selects
,,,,80,206652,0,Whoop,squirrel,
,,,,81,210494,0,Pig! Who says oink oink? Oink oink oink?,pig,
,,,,82,211888,0,,,selects
,,,,83,215492,0,Peacock! Which one's the bird?,peacock,
,,,,84,217158,0,,,selects
,,,,85,218178,0,Yay!,peacock,
,,,,86,221442,0,"A duck. A duck.  Which one's a duck? No, that's a fish. A fish, an elephant, and a duck.",duck,
,,,,87,226542,0,,,selects
,,,,88,227868,0,Alright...,duck,
,,,,89,231166,0,A swan. Which one's a white bird?,swan,
,,,,90,233886,0,,,selects
,,,,91,237524,0,A dog.  Who says woof woof?,dog,
,,,,92,240244,0,,,selects
,,,,93,242420,0,Woof woof!,dog,
,,,,94,243576,0,"rhinoceros. It's the big one, on the end. Which one's a--",rhinoceros,
,,,,95,247452,0,,,selects
,,,,96,248506,0,Good job,rhinoceros,
,,,,97,251090,0,"Duck. Which one's a duck? Which one's a duck? No, that's a fish!  Which one's a duck?",duck,
,,,,98,257652,0,,,selects
,,,,99,257652,0,"Nope, that's wrong ",duck,
,,,,100,261596,0,"OK, leopard. Which one--",leopard,
,,,,101,263398,0,,,selects
,,,,102,263398,0,"Guy, Guy. Calm down.",n/a,
,,,,103,271354,0,Raccoon. Which one's the raccoon? It's on the--,raccoon,
,,,,104,273870,0,,,selects
,,,,105,278358,0,"Guy, touch the fish.",fish,
,,,,106,280058,0,,,selects
