ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,826200,0,I wanna do Mama's,0,809030,0,"OK, hold on. Apple? Listen for the word that Mama says.",Apple,
1,836400,0,www,1,814776,814776,,,selects
2,838508,0,www,2,816544,0,"Now wait wait, for a second. Can you press the artichoke? An artichoke is the green one.",artichoke,
3,851318,0,Yes,3,818584,0,,,selects
4,986136,0,it goes,4,818584,0,Wait wait,artichoke,
5,1006746,0,fish,5,822596,0,"Hold on, Myles. OK. OK, well Mama....let's... let's start.",n/a,
6,1017640,0,this,6,833986,0,"OK, hold on, hold on, hold on. OK, wait wait wait wait wait. Listen to what Mama tells you.",n/a,
7,1048322,0,this,7,841398,0,Can you press the dog? Can you press the doggie? Where's the doggie?,dog,
8,1059576,0,it goes tweet tweet tweet!,8,844866,0,,,selects
9,1087830,0,brrrr,9,848368,0,"Ok, now, Myles, hold on, hold on. Can you press the raccoon?",raccoon,
10,1103674,0,it goes woof woof woof,10,853434,0,,,selects
11,1119790,0,it goes meow meow,11,853434,0,Good job.,n/a,
12,1128290,0,www www,12,858568,0,Where is the horsie? Horsie?,horse,
,,,,13,858602,0,,,selects
,,,,14,859384,0,Very good!,n/a,
,,,,15,861492,0,"Now where's the rooster? Wait wait wait wait. OK, the rooster is like a chicken.",rooster,
,,,,16,867544,0,,,selects
,,,,17,868360,0,Perfect!,n/a,
,,,,18,870944,0,Now the cat. Where's the kitty cat?,cat,
,,,,19,874786,0,,,selects
,,,,20,876214,0,Okay!,,
,,,,21,877506,0,Oh! Rhino. Where's the rhino? Do you know? Yeah!,rhinoceros,
,,,,22,880702,0,,,
,,,,23,881484,0,Good job. Very Good.,,
,,,,24,885156,0,Where's the pig? Where's the pig?,pig,
,,,,25,888998,0,,,selects
,,,,26,890868,0,really good!,n/a,
,,,,27,893452,0,"Where-- do you know what the peacock is? It's a bird, it's a blue bird.",peacock,
,,,,28,897702,0,,,selects
,,,,29,899504,0,Very good. xxx peacock xxx,peacock,
,,,,30,902768,0,"OK, a fish, is that a fish? ",fish,
,,,,31,905556,0,,,selects
,,,,32,907358,0,"Very good, xxx! You're doing so good!",na,
,,,,33,909738,0,"Ok, ooh, the rhino again. Can you find teh rhino? Do you remember which one?",rhinoceros,
,,,,34,914668,0,,,selects
,,,,35,916300,0,"Very good, sweetie!",n/a,
,,,,36,918238,0,"OK, the pig. Let's find the pig again.",pig,
,,,,37,923508,0,,,selects
,,,,38,924358,0,Very good!,n/a,
,,,,39,926228,0,The lobster. The lobster is the red one.,lobster,
,,,,40,931090,0,,,selects
,,,,41,933130,0,That's a lobster. It lives in the ocean.,lobster,
,,,,42,935238,0,"OK, the cow. Mooo.",cow,
,,,,43,940134,0,,,selects
,,,,44,941188,0,Let's find the peacock again. ,peacock,
,,,,45,943738,0,,,selects
,,,,46,946662,0,Very good!,n/a,
,,,,47,948736,0,The fish.,fish,
,,,,48,949518,0,,,selects
,,,,49,953258,0,"Ooh, the donkey. OK, so the donkey looks kind of like a horse.",donkey,
,,,,50,957032,0,,,selects
,,,,51,958086,0,Very good.,n/a,
,,,,52,961282,0,Where's the duck? Quack quack.,duck,
,,,,53,962948,0,,,selects
,,,,54,964376,0,Did you see that one?,n/a,
,,,,55,968116,0,The squirrel. Can you do the squirrel?,squirrel,
,,,,56,971210,0,,,selects
,,,,57,974134,0,Very good,n/a,
,,,,58,976276,0,"Ooh, now the elephant! You can do the elephant now! Can you press the elephant? ",elephant,
,,,,59,982872,0,,,selects
,,,,60,984198,0,Good job!,n/a,
,,,,61,987088,0,That's right! That's exactly what the elephant does! Very good!,elephant,
,,,,62,991644,0,"OK, the swan. Wait wait. The swan is the white bird. Can you touch the white bird?",swan,
,,,,63,999702,0,,,selects
,,,,64,1001096,0,Great job!,n/a,
,,,,65,1003850,0,Now the duck!,duck,
,,,,66,1007692,0,"There's a fish, that's right!",duck,
,,,,67,1009970,0,,,selects
,,,,68,1012112,0,"you like the fish, right?",n/a,
,,,,69,1013744,0,"you're doing a great job. OK, the leopard is the... Do you know which one is the leopard?",leopard,
,,,,70,1017756,0,"Oh, you do know. OK, go ahead. Press it.",leopard,
,,,,71,1020442,0,,,selects
,,,,72,1025032,0,"Oh, now the horsie!",horse,
,,,,73,1027990,0,,,selects
,,,,74,1028874,0,"Very good, xxx!",n/a,
,,,,75,1031934,0,"You like the cow? OK, the raccoon. Do you know the raccoon?",raccoon,
,,,,76,1034858,0,,,selects
,,,,77,1036592,0,Very good!,n/a,
,,,,78,1039618,0,And now the cow.,cow,
,,,,79,1040978,0,,,selects
,,,,80,1042950,0,Excellent!,n/a,
,,,,81,1043936,0,And the lobster. Do you remember the lobster? That's the red one? ,lobster,
,,,,82,1049206,0,Yes. Can you press it?,lobster,
,,,,83,1051518,0,,,selects
,,,,84,1052538,0,Great job!,n/a,
,,,,85,1055122,0,And now a bird.,bird,
,,,,86,1057026,0,,,selects
,,,,87,1061310,0,it does!,n/a,
,,,,88,1063010,0,"The leopard now. The leopard, wait--",leopard,
,,,,89,1064948,0,,,selects
,,,,90,1065968,0,Oops! You pressed the rooster.,leopard,
,,,,91,1067600,0,"OK, hold on. Now do the bird.",bird,
,,,,92,1070932,0,,,selects
,,,,93,1071952,0,Good job! Did you liket the tweet tweet tweet?,bird,
,,,,94,1074774,0,"OK, now we're going to do the donkey. Do you remember which one is the donkey? It's like a  horse.",donkey,
,,,,95,1080146,0,,,selects
,,,,96,1081914,0,Very good.,n/a,
,,,,97,1083274,0,Now the elephant.,elephant,
,,,,98,1085076,0,,,selects
,,,,99,1087150,0,Good job,,
,,,,100,1089904,0,That's right!,n/a,
,,,,101,1090686,0,"Oh, now the squirrel.",squirrel,
,,,,102,1094732,0,,,selects
,,,,103,1095888,0,Excellent,n/a,
,,,,104,1097452,0,And now the doggie.,dog,
,,,,105,1099832,0,,,selects
,,,,106,1102382,0,Very good!,n/a,
,,,,107,1104864,0,that's right!,n/a,
,,,,108,1105782,0,"oh, now the swan. the swan is the white bird.",swan,
,,,,109,1110168,0,,,selects
,,,,110,1114758,0,and now the cat!,cat,
,,,,111,1116934,0,,,selects
,,,,112,1121864,0,"yes, it does!",n/a,
,,,,113,1123258,0,"now the rooster, which is like a chicken",rooster,
,,,,114,1127474,0,,,selects
,,,,115,1129786,0,that's right!,n/a,
