ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
,,,,116,364514,0,OK ready? Horsey. Where's the horse?,horse,
,,,,117,367710,0,,,selects
,,,,118,368458,0,Good job,n/a,
,,,,119,371858,0,"OK, we're gonna try the leopard again. Remember which one was the leopard?",leopard,
,,,,120,375972,0,,,selects
,,,,121,376346,0,That's right!,n/a,
,,,,122,379100,0,The leopard!,n/a,
,,,,123,379712,0,OK. Fishie fishie fishie,fish,
,,,,124,383010,0,,,selects
,,,,125,383690,0,That's right. Good job,n/a,
,,,,126,387328,0,OK remember the swan?,swan,
,,,,127,390558,0,,,selects
,,,,128,392428,0,"That's rooster, you silly!",n/a,
,,,,129,395243,0,OK meow! Where's the kitty cat?,cat,
,,,,130,397562,0,,,selects
,,,,131,398072,0,Good boy!,n/a,
,,,,132,401336,0,OK listen. Where's the lobster? Remember that one?,lobster,
,,,,133,405484,0,,,selects
,,,,134,409836,0,OK roof-roof. Where's your doggie?,dog,
,,,,135,412284,0,,,selects
,,,,136,413644,0,Good job.,n/a,
,,,,137,414562,0,We did it! High five!,n/a,
