ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,54219,0,Apple Apple,0,52734,0,Can you find the apple?,apple,
1,54997,0,Apple,1,54186,0,,,selects
2,59136,0,Apple,2,54285,0,Oh wait,n/a,
3,61644,0,App,3,57321,0,Artichoke? Which one's the artichoke?,artichoke,
4,63525,0,App,4,59631,0,,,selects
5,64647,0,App,5,60027,0,No,artichoke,
6,67023,0,App,6,63210,0,"Apple. Apple! Which one's the apple? That one, right? Touch the apple! Can you find the apple?",apple,
7,68640,0,App App,7,73656,0,,,selects
8,72402,0,App!,8,73656,0,"Ohhh, Nana? You're gonna find the banana",apple,
9,73425,0,Nana!,9,77781,0,"Hey, this one's an artichoke, can you touch it?",artichoke,
10,78342,0,Da!,10,79002,0,,,selects
11,81807,0,www,11,79002,0,"Good job, you found the artichoke!",artichoke,
12,89694,0,Ok,12,82599,0,"Good job. That's what that says. OK, ready? Now listen. Touch the one I say, okay? Ok, got it? Got it.",n/a,
13,96162,0,www,13,91344,0,"Can you find-- do do do do-- the peacock? Which one's the peacock? Touch the peacock! You saw it, touch it! Touch the peacock! Yeah, don't touch the squirrel though, touch the peacock!",peacock,
14,100485,0,a squirrel!,14,104247,0,,,selects
15,104610,0,Yeah!,15,104247,0,Woah,n/a,
16,112266,0,Cat,16,107613,0,"OK, bird. Which one's the bird? Touch it.",bird,
17,114873,0,Noooo!,17,108966,0,,,selects
18,121605,0,haha,18,110418,0,You did it! ,n/a,
19,130251,0,"haha, nope!",19,112761,0,"Oh wait, hold on, lobster",lobster,
20,137280,0,I got it!,20,114576,0,,,selects
21,153516,0,www,21,115764,0,This is very...,n/a,
22,157047,0,"Woah, woah",22,117480,0,Fish! Touch the fish! Which one's the fish?,fish,
23,162525,0,www,23,119922,0,,,selects
24,168795,0,No!,24,119955,0,You touched the elephant!,fish,
25,172524,0,Woah!,25,123024,0,Wait wait wait. Squirrel. Touch the squirrel. Which one's the squirrel? Touch the squirrel.,squirrel,
26,179025,0,Nope.,26,129129,0,,<target>,selects
27,182919,0,Nooooooo!,27,130020,0,Not the peacock!,squirrel,
28,189387,0,Duck!,28,132264,0,Nope!,,
29,195063,0,Cocka-yeeee,29,133155,0,"Which one's the duck--wait, hold on",duck,
30,200607,0,the cat!,30,133848,0,,,selects
31,205854,0,it's duck!,31,138336,0,"Wait, touch the rhinocerous! The rhino",rhinocerous,
32,210936,0,No,32,140382,0,,,selects
33,213147,0,www,33,140481,0,You did it! Good job,rhinocerous,
34,217272,0,Nope!,34,142956,147015,Now touch the pig. Which one's the pig?,pig,
35,221199,0,Awww!,35,145629,0,,,selects
36,227073,0,www--haha!,36,145629,0,Good job!,n/a,
37,232089,0,Nope!,37,147015,0,Touch the leopard! Can you find the leopard?,leopard,
38,237303,0,Oh no!,38,150480,0,,,selects
39,242220,0,oooh!,39,152460,0,That's not the leopard!,leopard,
40,248061,0,oh! rooster!,40,154209,0,touch the cow!,cow,
41,253011,0,Duck!,41,154209,0,,,selects
42,257862,0,Duck!,42,155232,0,Wait! This is moving so fast!,n/a,
43,262515,0,www,43,159093,0,Raccoon! Touch the raccoon!,raccoon,
44,273174,0,Nope,44,160479,0,,,selects
45,278652,0,Nope,45,161436,0,Good job!,n/a,
