ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,64251,0,"Donkey",0,26802,0,"OK. Touch--","apple","",
1,67898,0,"This?",1,27403,0,"","","selects",
2,87518,0,"Peacock!",2,28050,0,"OK now-- very good, but look at Mommy. Wait for Mommy to tell you which one, OK?","n/a","",
3,116076,0,"Www",3,32266,0,"Where is the artichoke? Is there one that is green?","artichoke","",
4,128049,0,"Horsey!",4,36958,0,"","","selects",
5,134266,0,"Www?",5,37434,0,"Good","n/a","",
6,192814,0,"Rawr!",6,38488,0,"OK wait a minute, wait for Mommy","n/a","",
7,195636,0,"Cow",7,40766,0,"Where's the apple?","apple","",
8,204986,0,"This?",8,42534,0,"","","selects",
9,219164,0,"Www",9,42806,0,"Good job!","n/a","",
10,240720,0,"Www!",10,44642,0,"OK wait for Mommy","n/a","",
11,323306,0,"Rawr!",11,47621,0,"Where's the artichoke again? The artichoke is-- no no no! The artichoke is green","artichoke","",
12,347956,0,"I like the dog",12,53992,0,"","","selects",
13,386682,0,"Thank you!",13,54026,0,"Good","n/a","",
,,,,14,61404,0,"Where's the donkey?","donkey","",
,,,,15,64736,0,"Donkey","donkey","",
,,,,16,68238,0,"No. Where's the one-- donkey is in the middle","donkey","",
,,,,17,72118,0,"Mhm!","donkey","",
,,,,18,73202,0,"","","selects",
,,,,19,73304,0,"Very good","n/a","",
,,,,20,74834,0,"It made a sound for you!","n/a","",
,,,,21,77248,0,"Where's the pig?","pig","",
,,,,22,80320,0,"Mhm! Push the pig","pig","",
,,,,23,81362,0,"","","selects",
,,,,24,82552,0,"Very good. Oink oink oink!","n/a","",
,,,,25,85612,0,"Where's the peacock?","peacock","",
,,,,26,88298,0,"Mhm, do you know which one it is?","peacock","",
,,,,27,89692,0,"No, not that!","peacock","",
,,,,28,90168,0,"","","selects",
,,,,29,91120,0,"That's the raccoon, but that's OK","n/a","",
,,,,30,93772,0,"Where's the cat? Meow","cat","",
,,,,31,95880,0,"","","selects",
,,,,32,97274,0,"Very good","n/a","",
,,,,33,99824,0,"Where's the red lobster?","lobster","",
,,,,34,102782,0,"Which one is red?","lobster","",
,,,,35,105094,0,"Very good, Johnathan","lobster","",
,,,,36,105808,0,"","","selects",
,,,,37,110092,0,"Where is the cat?","cat","",
,,,,38,112720,0,"","","selects",
,,,,39,112880,0,"Good job","n/a","",
,,,,40,117784,0,"Where is the raccoon? The brown--yeah","raccoon","",
,,,,41,122944,0,"","","selects",
,,,,42,123148,0,"Mhm, very good","n/a","",
,,,,43,126650,0,"Where's the horsey?","horse","",
,,,,44,129064,0,"","","selects",
,,,,45,130356,0,"Very good","n/a","",
,,,,46,132668,0,"Where's the squirrel?","squirrel","",
,,,,47,134470,0,"Mhm!","squirrel","",
,,,,48,135720,0,"","","selects",
,,,,49,136000,0,"Good job!","n/a","",
,,,,50,139366,0,"Where's the elephant?","elephant","",
,,,,51,140896,0,"","","selects",
,,,,52,145656,0,"Where's the raccoon?","raccoon","",
,,,,53,148546,0,"No, in the middle","raccoon","",
,,,,54,150398,0,"Mhm!","raccoon","",
,,,,55,151572,0,"","","selects",
,,,,56,151674,0,"Good!","n/a","",
,,,,57,155278,0,"Where's the pig?","pig","",
,,,,58,156944,0,"","","selects",
,,,,59,157386,0,"Oink oink oink","n/a","",
,,,,60,161248,0,"OK now this is a -- which one do you think is the swan? The swan is white","swan","",
,,,,61,166192,0,"Mhm!","swan","",
,,,,62,167030,0,"","","selects",
,,,,63,168217,0,"Good job","n/a","",
,,,,64,170646,0,"Where's the ducky?","duck","",
,,,,65,172550,0,"","","selects",
,,,,66,173366,0,"Quack quack quack!","duck","",
,,,,67,176392,0,"Where's the leopard?","leopard","",
,,,,68,179897,0,"Which one do you think that is?","leopard","",
,,,,69,181458,0,"No, not in the middle. The one that's gold, that's yellow","leopard","",
,,,,70,185587,0,"No, not the white swan","leopard","",
,,,,71,187348,0,"There's the leopard!","leopard","",
,,,,72,188768,0,"","","selects",
,,,,73,190094,0,"Rawr!","n/a","",
,,,,74,193732,0,"Where's the cow?","cow","",
,,,,75,196214,0,"Mhm","cow","",
,,,,76,197234,0,"","","selects",
,,,,77,197744,0,"That's the horsey","n/a","",
,,,,78,201382,0,"Where is-- let's think about it first. Where's the rooster?","rooster","",
,,,,79,206414,0,"No, that's the--","rooster","",
,,,,80,208114,0,"There's the-- very good, that's the rooster","rooster","",
,,,,81,209032,0,"","","selects",
,,,,82,212772,0,"Now where's the cow? Think about it first. Which is the cow?","cow","",
,,,,83,215832,0,"Very good","cow","",
,,,,84,216667,0,"","","selects",
,,,,85,221293,0,"We're gonna play with that more in a second.","n/a","",
,,,,86,222700,0,"Show me where the squirrel is","squirrel","",
,,,,87,225930,0,"No, that's the raccoon, and that's the peacock. Where's the squirrel?","squirrel","",
,,,,88,230719,0,"Nope, that's the peacock","squirrel","",
,,,,89,232408,0,"There's the squirrel. Very good, John","squirrel","",
,,,,90,233886,0,"","","selects",
,,,,91,237626,0,"Where's the birdy?","bird","",
,,,,92,238918,0,"Yes! Tweet tweet tweet!","bird","",
,,,,93,238957,0,"","","selects",
,,,,94,242794,0,"Do you know which one is the rhinoceros?","rhinoceros","",
,,,,95,245888,0,"Not the red lobster, not the donkey. Which one is the rhinoceros do you think?","rhinoceros","",
,,,,96,252949,0,"No, that's the donkey in the middle","rhinoceros","",
,,,,97,255306,0,"Yes, that's the rhinoceros. Go ahead","rhinoceros","",
,,,,98,257006,0,"","","selects",
,,,,99,259352,0,"Good job","n/a","",
,,,,100,260712,0,"And where's the horse?","horse","",
,,,,101,263162,0,"Mhm!","horse","",
,,,,102,263602,0,"","","selects",
,,,,103,266662,0,"And show Mommy the rooster. Do you remember?","rooster","",
,,,,104,269722,0,"Which one do you think is the rooster?","rooster","",
,,,,105,271460,0,"Very good, John","rooster","",
,,,,106,272068,0,"","","selects",
,,,,107,275944,0,"Where's the duck? Quack quack!","duck","",
,,,,108,278324,0,"","","selects",
,,,,109,278664,0,"Good job!","n/a","",
,,,,110,282166,0,"And where's the swan? Do you remember? White swan.","swan","",
,,,,111,288184,0,"Very good!","swan","",
,,,,112,288864,0,"","","selects",
,,,,113,293726,0,"And the doggy! Which one's the doggy?","dog","",
,,,,114,295596,0,"","","selects",
,,,,115,296616,0,"Woof woof!","n/a","",
,,,,116,299873,0,"What about the donkey? The donkey?","donkey","",
,,,,117,303484,0,"No, not the red lobster, not the rhinoceros, the donkey.","donkey","",
,,,,118,307052,0,"Yes.","donkey","",
,,,,119,308122,0,"","","selects",
,,,,120,308924,0,"Hee-haw!","n/a","",
,,,,121,311848,0,"Where's the fish?","fish","",
,,,,122,313616,0,"Good job","n/a","",
,,,,123,313650,0,"","","selects",
,,,,124,317152,0,"Do you remember the leopard?","leopard","",
,,,,125,319260,0,"Let's think about it. Leopard. Roar!","leopard","",
,,,,126,324681,0,"Very good!","leopard","",
,,,,127,324972,0,"","","selects",
,,,,128,325312,0,"There's the leopard","leopard","",
,,,,129,328372,0,"Where's the bird? Birdy birdy!","bird","",
,,,,130,330582,0,"Mhm!","bird","",
,,,,131,332026,0,"","","selects",
,,,,132,332690,0,"Tweet tweet tweet tweet!","n/a","",
,,,,133,335614,0,"And where's the lobster? The red lobster?","lobster","",
,,,,134,339898,0,"","","selects",
,,,,135,343570,0,"And where's the dog?","dog","",
,,,,136,344726,0,"","","selects",
,,,,137,345508,0,"Woof woof! I like that dog","n/a","",
,,,,138,349282,0,"And the rhinoceros","rhinoceros","",
,,,,139,352104,0,"No. Think ahout it","rhinoceros","",
,,,,140,354382,0,"Yes, very good. Big rhinoceros","rhinoceros","",
,,,,141,355538,0,"","","selects",
,,,,142,359414,0,"And where's the fish?","fish","",
,,,,143,361579,0,"","","selects",
,,,,144,365425,0,"And do you remember which one is the peacock?","peacock","",
,,,,145,369308,0,"Peacock. No, racoon, squirrel, where's the peacock? No, that's the squirrel","peacock","",
,,,,146,375496,0,"There's the peacock!","peacock","",
,,,,147,376528,0,"","","selects",
,,,,148,380007,0,"Where's the elephant?","elephant","",
,,,,149,381684,0,"","","selects",
,,,,150,384030,0,"All done! It says ""Thank you!""","n/a","",
