ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,13992,0,Apple,0,12177,0,Apple! Where's the apple?,apple,
1,21658,0,Apple!,1,13398,0,,,selects
2,25608,0,Apple,2,15155,0,Where'd the apple go? Where's the artichoke? Artichoke,artichoke,
3,32934,0,Oh!,3,18348,0,,,selects
4,38366,0,Elephant!,4,20691,0,Where's the apple?,apple,
5,68178,0,Www!,5,22143,0,Apple! Apple,apple,
6,110983,0,oh!,6,23460,0,,,selects
7,142375,0,Www,7,26070,0,Artichoke!,artichoke,
8,209831,0,Woof woof!,8,29040,0,,,selects
9,255288,0,Www!,9,29304,0,Yeah!,n/a,
10,257930,0,Www!,10,37224,0,Where's the elephant?,elephant,
11,263406,0,I don't know!,11,38492,0,,,selects
12,265848,0,I don't see!,12,41547,0,Where's the squirrel? Squirrel! Find the squirrel,squirrel,
13,269082,0,Www,13,47389,0,,,selects
14,280038,0,Www,14,47784,0,Yeah! Good job!,n/a,
,,,,15,50721,0,Where's the cow? Moo moo,cow,
,,,,16,53080,0,"Yeah! Touch the cow, Shosh. Moo moo",cow,
,,,,17,55032,0,,,selects
,,,,18,58905,0,Where's the leopard? Rawr!,leopard,
,,,,19,61182,0,,,selects
,,,,20,62304,0,Good job!,n/a,
,,,,21,64284,0,Where's the pig? Oink oink oink!,pig,
,,,,22,66906,0,,,selects
,,,,23,67518,0,Good job! Yeah!,n/a,
,,,,24,70323,0,Where's the raccoon?,raccoon,
,,,,25,71973,0,No that's not a raccoon!,raccoon,
,,,,26,72765,0,,,selects
,,,,27,74415,0,That was a sneaky raccoon,n/a,
,,,,28,76197,0,Where's the cow? Moo moo,cow,
,,,,29,77583,0,,,selects
,,,,30,81048,0,Squirrel?,squirrel,
,,,,31,82797,0,,,selects
,,,,32,83886,0,Squirrel?,squirrel,
,,,,33,87747,0,Where's the cat? Meow! Meow goes the cat,cat,
,,,,34,91608,0,,,selects
,,,,35,94842,0,Where's the swan?,swan,
,,,,36,97251,0,,,selects
,,,,37,97878,0,That's a rooster!,n/a,
,,,,38,101013,0,Where's the duck?,duck,
,,,,39,102399,0,Yeah! Quack quack quack!,duck,
,,,,40,105897,0,,,selects
,,,,41,106425,0,Good job!,n/a,
,,,,42,110121,0,Where's the donkey?,donkey,
,,,,43,111243,0,,,selects
,,,,44,114114,0,Where's the dog? Where's the woof woof woof? Where's the doggy? Where's the puppy dog?,dog,
,,,,45,118635,0,,,selects
,,,,46,122232,0,Where's the rhino? Rhino. Where's the rhino?,rhinoceros,
,,,,47,128700,0,,,selects
,,,,48,129756,0,Yeah! You know your animals!,n/a,
,,,,49,132330,0,Where's the elephant?,elephant,
,,,,50,133485,0,,,selects
,,,,51,135003,0,Wow!,n/a,
,,,,52,136818,0,Where's the lobster?,lobster,
,,,,53,138567,0,,,selects
,,,,54,139275,0,Pinchy pinchy lobster! Pinchy pinchy lobster!,lobster,
,,,,55,142395,0,Where's the duck? Quack quack quack!,duck,
,,,,56,144705,0,,,selects
,,,,57,147939,0,Where's the lobster? Red lobster,lobster,
,,,,58,149325,0,,,selects
,,,,59,151371,0,He swims in the water,lobster,
,,,,60,153582,0,Where's the piggie?,pig,
,,,,61,154209,0,,,selects
,,,,62,155088,0,Good job!,n/a,
,,,,63,157377,0,Where's the donkey?,donkey,
,,,,64,159324,0,,,selects
,,,,65,160413,0,"That's not the donkey, that's a lobster",n/a,
,,,,66,163515,0,Where's the fish?,fish,
,,,,67,165231,0,,,selects
,,,,68,168960,0,Where's the rooster? Cock-a-doodle-doo!,rooster,
,,,,69,170082,0,,,selects
,,,,70,173910,0,Where's the cat? Meow! Meow!,cat,
,,,,71,178596,0,,,selects
,,,,72,181896,0,Where's the raccoon?,raccoon,
,,,,73,183645,0,,,selects
,,,,74,186978,0,Where's the fish?,fish,
,,,,75,187961,0,Can you find the fish?,fish,
,,,,76,189288,0,,,selects
,,,,77,192291,0,Rooster! Where's the cock-a-doodle-doo? Where's the cock-a-doodle-doo?,rooster,
,,,,78,200343,0,Mine just says a word it says rooster. Mine says rooster. Pick the rooster.,rooster,
,,,,79,203940,0,,,selects
,,,,80,207075,0,Where's the bird? Where's the birdie?,bird,
,,,,81,208494,0,,,selects
,,,,82,212058,0,That was a doggie,n/a,
,,,,83,212553,0,Where's the swan?,swan,
,,,,84,213081,0,,,selects
,,,,85,216975,0,Where's the horse?,horse,
,,,,86,218790,0,,,selects
,,,,87,220242,0,Yeah!,n/a,
,,,,88,221859,0,Where's the peacock? Peacock!,peacock,
,,,,89,226347,0,,,selects
,,,,90,229416,0,Where's the dog? Woof woof woof! You know where the dog is!,dog,
,,,,91,231726,0,,,selects
,,,,92,232782,0,No that was a bird,n/a,
,,,,93,235785,0,Where's the leopard? Rawr! Where's the leopard?,leopard,
,,,,94,242484,0,Can you touch the leopard?,leopard,
,,,,95,245223,0,,,selects
,,,,96,248457,0,Where's the horse? Where's the horse? Can you touch the horse?,horse,
,,,,97,254331,0,,,selects
,,,,98,256080,0,You touched the piggie,n/a,
