ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,217654,0,"www",0,193556,0,"Alright, now can you touch the apple? Which one is it?","apple","",
1,274108,0,"www",1,198928,0,"Oop, try again","n/a","",
2,280599,0,"www",2,200785,0,"Touch the artichoke. Do you know which one's the artichoke?","artichoke","",
3,285026,0,"No!",3,202224,0,"","","selects",
4,295876,0,"No!",4,204382,0,"How about the... Try again with the apple. Do it fast!","apple","",
5,311662,0,"www",5,206877,0,"","","selects",
6,329615,0,"No!",6,209685,0,"How bout the artichoke again?","artichoke","",
7,334323,0,"No!",7,211860,0,"","","selects",
8,341121,0,"www",8,213030,0,"You can just touch it with your finger","n/a","",
9,346104,0,"No!",9,214962,0,"","","selects",
10,352025,0,"No!",10,215106,0,"Yeah! That's the artichoke. Nice!","artichoke","",
11,352539,0,"Fish!",11,218416,0,"Alright. Now, can you find the peacock?","peacock","",
12,359822,0,"No!",12,225423,0,"","","selects",
13,365673,0,"www",13,226913,227302,"Oop! That was the raccoon","peacock","",
14,387393,0,"Fish",14,229266,0,"Can you find the duck?","duck","",
15,394086,0,"www",15,230934,0,"","","selects",
16,405438,0,"No",16,231965,0,"Nice job!","n/a","",
17,411114,0,"No",17,234287,0,"Can you find the raccoon?","raccoon","",
18,431376,0,"Www",18,237633,0,"","","selects",
,,,,19,238968,0,"Oop! that's the squirrel","raccoon","",
,,,,20,242224,0,"Can you find the cow? What's the cow say?","cow","",
,,,,21,243870,0,"","","selects",
,,,,22,245289,0,"Good job!","","",
,,,,23,246417,0,"Can you find rooster?","rooster","",
,,,,24,248886,0,"","","selects",
,,,,25,250564,0,"Nice!","n/a","",
,,,,26,252858,0,"Can you find the horse?","horse","",
,,,,27,254133,0,"","","selects",
,,,,28,255278,0,"Oops! Xxx try to do it just with your finger. Uh wait, wait a sec.","n/a","",
,,,,29,261508,0,"Uhh, can you find the horse? just with your finger","horse","",
,,,,30,264726,0,"","","selects",
,,,,31,265599,0,"Good job!","n/a","",
,,,,32,267552,0,"Did it neigh at you?","n/a","",
,,,,33,269659,0,"Can you find the rhinoceros?","rhinoceros","",
,,,,34,272448,0,"","","selects",
,,,,35,272979,0,"Nice!","n/a","",
,,,,36,275674,0,"Ooh, find the elephant this time.","elephant","",
,,,,37,277662,0,"","","selects",
,,,,38,278276,0,"Good job!","n/a","",
,,,,39,281005,0,"Now find the squirrel.","squirrel","",
,,,,40,282777,0,"","","selects",
,,,,41,284230,0,"Is that the squirrel?","squirrel","",
,,,,42,285564,0,"No","n/a","",
,,,,43,286958,0,"Can you find the fish?","fish","",
,,,,44,288222,0,"","","selects",
,,,,45,289409,0,"Good job! Ooh it sounded like it was swimming!","n/a","",
,,,,46,292508,0,"Where's the squirrel? Which one's the squirrel?","squirrel","",
,,,,47,293898,0,"","","selects",
,,,,48,294711,0,"Is that the squirrel?","squirrel","",
,,,,49,296103,0,"No!","n/a","",
,,,,50,297373,0,"Where's the cat?","cat","",
,,,,51,298848,0,"","","selects",
,,,,52,299838,0,"Meow! Nice!","n/a","",
,,,,53,301850,0,"Where is the rooster?","rooster","",
,,,,54,303765,0,"","","selects",
,,,,55,305418,0,"Cock-a-doodle-doo!","n/a","",
,,,,56,307395,0,"Can you find the pig?","pig","",
,,,,57,309903,0,"","","selects",
,,,,58,311619,0,"You found it! Did it oink at you?","n/a","",
,,,,59,314022,0,"What about the leopard? Where's the leopard?","leopard","",
,,,,60,315282,0,"","","selects",
,,,,61,318672,0,"Can you find the cat?","cat","",
,,,,62,321783,0,"","","selects",
,,,,63,322979,0,"Yeah it meowed at you!","n/a","",
,,,,64,325784,0,"Can you find the peacock?","peacock","",
,,,,65,327624,0,"","","selects",
,,,,66,328664,0,"Is that the peacock?","peacock","",
,,,,67,329719,0,"No!","n/a","",
,,,,68,331203,0,"Can you find the dog?","dog","",
,,,,69,332871,0,"","","selects",
,,,,70,333607,0,"Was that the dog?","dog","",
,,,,71,334852,0,"No!","n/a","",
,,,,72,336741,0,"Can you find lobster?","lobster","",
,,,,73,339339,0,"","","selects",
,,,,74,339691,0,"Yeah!","n/a","",
,,,,75,342869,0,"Can you find the fish?","fish","",
,,,,76,344355,0,"","","selects",
,,,,77,344850,0,"Was that the fish?","fish","",
,,,,78,346399,0,"No!","n/a","",
,,,,79,347985,0,"Can you find the donkey?","donkey","",
,,,,80,349635,0,"","","selects",
,,,,81,350771,0,"Was that the donkey?","donkey","",
,,,,82,352386,0,"No!","n/a","",
,,,,83,354491,0,"What about the dog? Where's the dog?","dog","",
,,,,84,358017,0,"","","selects",
,,,,85,359098,0,"Was that the dog?","dog","",
,,,,86,360836,0,"No!","n/a","",
,,,,87,362541,0,"Where's the donkey?","donkey","",
,,,,88,363858,0,"","","selects",
,,,,89,364492,0,"That's not the donkey!","donkey","",
,,,,90,367465,0,"Was that a fish? That was the lobster!","n/a","",
,,,,91,370026,0,"What about the duck?","duck","",
,,,,92,370722,0,"","","selects",
,,,,93,372257,0,"Was that the duck?","duck","",
,,,,94,373897,0,"What was that one?","n/a","",
,,,,95,376718,0,"Alright find the swan. Where's the swan?","swan","",
,,,,96,379368,0,"","","selects",
,,,,97,379830,0,"Yes! Nice job!","n/a","",
,,,,98,382932,0,"Ooh, where's the elephant?","elephant","",
,,,,99,384846,0,"","","selects",
,,,,100,386183,0,"Was that the elephant?","elephant","",
,,,,101,387926,0,"That was the fish.","n/a","",
,,,,102,389223,0,"Where's the rhinoceros?","rhinoceros","",
,,,,103,390852,0,"","","selects",
,,,,104,392592,0,"What was that?","n/a","",
,,,,105,394704,0,"That was the lobster","n/a","",
,,,,106,395766,0,"Ooh, what about the pig? Make the pig go oink!","pig","",
,,,,107,398277,0,"","","selects",
,,,,108,400476,0,"xxx","n/a","",
,,,,109,401592,0,"What about the raccoon? Where's the raccoon?","raccoon","",
,,,,110,402864,0,"","","selects",
,,,,111,404195,0,"Was that the raccoon?","raccoon","",
,,,,112,405838,0,"No","n/a","",
,,,,113,406982,0,"Where's the bird?","bird","",
,,,,114,408441,0,"","","selects",
,,,,115,410144,0,"Was that the bird?","bird","",
,,,,116,411260,0,"What was that?","n/a","",
,,,,117,414622,0,"Find the lobster. Where's the lobster?","lobster","",
,,,,118,416790,0,"","","selects",
,,,,119,418314,0,"Yes! Nice job!","n/a","",
,,,,120,420608,0,"Ooh, where's the bird?","bird","",
,,,,121,422796,0,"","","selects",
,,,,122,423890,0,"Ooh! Tweet tweet tweet tweet! Good job!","n/a","",
,,,,123,427218,0,"Where's the leopard?","leopard","",
,,,,124,428802,0,"","","selects",
,,,,125,429924,0,"Nice job!","n/a","",
,,,,126,432399,0,"What about the cow? Where's the cow?","cow","",
,,,,127,434577,0,"","","selects",
,,,,128,435633,0,"Moo! Good job!","n/a","",
,,,,129,438207,0,"I think we're all done!","n/a","",
