ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,20658,0,okay,0,3564,0,Where's the artichoke?,artichoke,
1,120021,0,www,1,5940,0,,,selects
2,150777,0,in the zoo,2,6303,0,Where's the artichoke?,artichoke,
3,158763,0,ahh!,3,7854,0,Where's the apple?,apple,
4,159357,0,go in here!,4,11286,0,,,selects
5,171105,0,fish!,5,12243,0,There it is.,apple,
6,172557,0,elephant!,6,14784,0,"OK, touch the artichoke.",artichoke,
7,209814,0,go in there,7,15840,0,,,selects
8,214896,0,that's like our kitty,8,16599,0,Yeah!,n/a,
9,229581,0,tweet tweet tweet,9,19371,0,Okay,n/a,
,,,,10,21483,0,Okay,n/a,
,,,,11,24123,0,"Hey, where's the raccoon?",raccoon,
,,,,12,25674,0,,,selects
,,,,13,26763,0,Oop! That was the squirrel!,raccoon,
,,,,14,30393,0,Can you find the fish?,fish,
,,,,15,31482,0,,,selects
,,,,16,32406,0,Yeah!,n/a,
,,,,17,34947,0,How 'bout the donkey? Where's the donkey?,donkey,
,,,,18,37521,0,,,selects
,,,,19,38445,0,That's a rhinocerous.,donkey,
,,,,20,40920,0,"Where's the cat, like Audrey? Where's the cat?",cat,
,,,,21,42834,0,,,selects
,,,,22,44682,0,"There's the cat, there you go!",cat,
,,,,23,46662,0,"OK, can you find the raccoon? Wait, touch the raccoon.",raccoon,
,,,,24,52239,0,,,selects
,,,,25,52899,0,Good job. OK,n/a,
,,,,26,56529,0,Where's the pig?,pig,
,,,,27,57651,0,,,selects
,,,,28,58608,0,"(snorts) like a pig, yeah!",pig,
,,,,29,61314,0,where's the rooster? rooster.,rooster,
,,,,30,64350,0,,,selects
,,,,31,65901,0,Cocka-doodle-doo!,rooster,
,,,,32,68574,0,"OK, can you find, now wait, can you find the dog?",dog,
,,,,33,71808,0,,,selects
,,,,34,72798,0,Yeah! Like Lucy!,dog,
,,,,35,75471,0,"OK, how 'bout the swan",swan,
,,,,36,77616,0,,,selects
,,,,37,78573,0,"Very good! So pretty, pretty bird",swan,
,,,,38,81543,0,Where's the horse? Where's the horse?,horse,
,,,,39,83556,0,,,selects
,,,,40,85107,0,Uh-huh!,n/a,
,,,,41,87813,0,Give me the squirrel.,squirrel,
,,,,42,88770,0,,,selects
,,,,43,89925,0,"Yeah, like in our back yard! Yup!",squirrel,
,,,,44,92664,0,How 'bout the duck?,duck,
,,,,45,94050,0,,,selects
,,,,46,95205,0,"quack quack quack, Okay",n/a,
,,,,47,97779,0,Can you find the squirrel?,squirrel,
,,,,48,98868,0,,,selects
,,,,49,99660,0,Very good!,n/a,
,,,,50,101706,0,Where's the bird?,bird,
,,,,51,103356,0,,,selects
,,,,52,104412,0,Very good! You know your animals.,n/a,
,,,,53,106953,0,"OK, how 'bout the lobster. Do you know what a lobster is?",lobster,
,,,,54,110154,0,,,selects
,,,,55,110154,0,Yeah! They're in the ocean,lobster,
,,,,56,114081,0,"Ok, oop, how 'bout the horse?",horse,
,,,,57,117381,0,,,selects
,,,,58,118536,0,Yeah!,n/a,
,,,,59,121077,0,Yeah!,n/a,
,,,,60,121770,0,How 'bout the rhinocerous,rhinocerous,
,,,,61,124014,0,,,selects
,,,,62,125367,0,Yeah!,n/a,
,,,,63,126588,0,"OK, then, where's the dog?",dog,
,,,,64,129921,0,,,selects
,,,,65,130878,0,Uh-huh! Good.,n/a,
,,,,66,134178,0,"OK, can you find the leopard? Where's the leopard?",leopard,
,,,,67,137907,0,,,selects
,,,,68,138402,0,There,n/a,
,,,,69,140646,0,"OK, where's the cow?",cow,
,,,,70,142164,0,,,selects
,,,,71,143385,0,"There's the cow, mhm",n/a,
,,,,72,147246,0,How 'bout the peacock?,peacock,
,,,,73,148368,0,,,selects
,,,,74,149358,0,Yeah! Very good!,n/a,
