ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,6358,0,More!,0,7038,0,More?,n/a,
1,58575,0,Elephant!,1,9078,0,Hold on! Can you put--,apple,
2,90746,0,Www!,2,10607,0,,,selects
3,102748,0,Ha!,3,10642,0,Wait wait! You didn't listen!,n/a,
4,112336,0,Tiger,4,14733,0,Can you touch the artichoke?,artichoke,
5,118540,0,Www!,5,16864,0,,,selects
6,126072,0,Www,6,19129,0,We're only gonna touch the one that we want,n/a,
7,143344,0,Www!,7,20536,0,Apple?,apple,
8,153408,0,Yeah,8,24436,0,,,selects
9,157692,0,Right there,9,26282,0,Artichoke,artichoke,
10,161534,0,Www!,10,29036,0,,,selects
11,172720,0,Meow,11,34170,0,Be patient,n/a,
12,195500,0,Right there!,12,35292,0,Which one's the birdy?,bird,
13,200600,0,Right there!,13,38386,0,Birdy,bird,
14,204442,0,Touch?,14,41106,0,,,selects
15,207366,0,Neigh!,15,41446,0,Good job!,n/a,
16,209406,0,Neigh neigh!,16,43860,0,Which one's the leopard?,leopard,
17,212670,0,Right there!,17,46478,0,Not the chicken!,leopard,
18,224538,0,Right there!,18,49449,0,Not the birdy,leopard,
19,240176,0,Right there!,19,49606,0,,,selects
20,248472,0,Right there!,20,50592,0,Oop,n/a,
21,252688,0,Chicken!,21,53754,0,Which one's the ducky?,duck,
22,256645,0,Right there!,22,59163,0,That is an elephant. Not the elephant,duck,
23,260474,0,Www!,23,62900,0,Duck,duck,
24,267240,0,Right there!,24,65178,0,"It says ""quack quack""",duck,
25,271388,0,Baby rhino,25,66028,0,,,selects
26,281928,0,There!,26,66538,0,There you go,n/a,
27,286246,0,Www,27,68170,0,Good job!,n/a,
28,290258,0,Right there!,28,70074,0,Which one lives in the water?,lobster,
29,299370,0,Right there!,29,76636,0,Not the rhino,lobster,
30,304776,0,Horsie?,30,81063,0,Which one's the lobster?,lobster,
31,308346,0,Right there!,31,83164,0,Xxx,lobster,
32,311610,0,Right there!,32,85680,0,Which one's red?,lobster,
33,318648,0,Tiger,33,91460,0,Yeah! Pick the red one!,lobster,
34,325244,0,Tiger,34,94486,0,,,selects
35,329902,0,Right there,35,94894,0,Good job!,n/a,
36,332758,0,Right there!,36,98328,0,Where's the meow?,cat,
37,335920,0,Cow,37,100028,0,,,selects
38,338470,0,Cow,38,101082,0,Yeah!,n/a,
39,347820,0,Right there,39,104040,0,Which one's the squirrel?,squirrel,
40,354688,0,Right there,40,109888,0,The ones we see outside,squirrel,
41,359380,0,Www,41,113288,0,Not the tiger,squirrel,
42,363868,0,Mama!,42,119816,0,"Yep, Mama's is different",squirrel,
43,365194,0,Kaiya!,43,122298,0,Which one's the squirrel?,squirrel,
44,367404,0,Www!,44,129438,0,Not that one,squirrel,
45,371994,0,Www!,45,132328,0,Yep,squirrel,
46,376380,0,Tiger!,46,133790,0,,,selects
47,380800,0,Meow!,47,134603,0,"Good job! Say ""squirrel""",n/a,
48,384234,0,Meow!,48,137870,0,Which one's the cow?,cow,
49,396406,0,That's right there!,49,140628,0,"Which one's moo? Which one says ""moo?""",cow,
50,401302,0,Www,50,144534,0,Which one? Moo,cow,
51,405654,0,Right there,51,148274,0,,,selects
52,410550,0,Knees?,52,149600,0,What one was that?,n/a,
53,418948,0,OK,53,152116,0,Horsey,horse,
54,424830,0,Uhhh right there!,54,154530,0,Where's the rhino?,rhinoceros,
55,430882,0,Right there!,55,156230,0,Where's the baby rhino?,rhinoceros,
56,436934,0,Knees?,56,158882,0,Yeah! You can touch the rhino,rhinoceros,
57,441286,0,Mmmmm!,57,162350,0,"No, you gotta touch the rhino",rhinoceros,
58,447882,0,Right there,58,164254,0,,,selects
59,450813,0,Oh!,59,164798,0,Good job! Oh! What was that noise?,n/a,
,,,,60,167892,0,Find the puppy,dog,
,,,,61,170408,0,,,selects
,,,,62,171496,0,Good job,n/a,
,,,,63,173808,0,Where's the rhino?,rhinoceros,
,,,,64,176154,0,,,selects
,,,,65,177446,0,Good job!,n/a,
,,,,66,179486,0,Wheres the-- where's Ellie?,elephant,
,,,,67,181770,0,,,selects
,,,,68,183498,0,There you go!,n/a,
,,,,69,187204,0,Where's the birdy?,peacock,
,,,,70,189584,0,,,selects
,,,,71,192984,0,Where's the horsey?,horse,
,,,,72,196418,0,"No, that's a cow",horse,
,,,,73,198458,0,Where's the horsey?,horse,
,,,,74,201722,0,Yeah!,horse,
,,,,75,205172,0,Yeah!,horse,
,,,,76,206006,0,,,selects
,,,,77,208012,0,Neigh neigh!,n/a,
,,,,78,210086,0,Where's the raccoon?,raccoon,
,,,,79,213656,0,No,raccoon,
,,,,80,216584,0,Mhm!,raccoon,
,,,,81,217532,0,,,selects
,,,,82,221797,0,Where's the birdy?,bird,
,,,,83,225352,0,"Yeah, touch it!",bird,
,,,,84,226678,0,,,selects
,,,,85,229942,0,Where's the birdy? Where's the peacock?,peacock,
,,,,86,233274,0,,,selects
,,,,87,236946,0,Where's the piggy?,pig,
,,,,88,240652,0,"Yeah, touch it!",pig,
,,,,89,241774,0,,,selects
,,,,90,246262,0,Where's the swan?,swan,
,,,,91,249662,0,"Yeah, touch it!",swan,
,,,,92,250852,0,,,selects
,,,,93,253742,0,Not the chicken,n/a,
,,,,94,254490,0,Where's the piggy?,pig,
,,,,95,257244,0,"Yeah, touch it",pig,
,,,,96,259151,0,,,selects
,,,,97,262038,0,Is that a fun game?,n/a,
,,,,98,262752,0,Where's the donkey?,donkey,
,,,,99,268260,0,"What's that one? That one's not a donkey, what is it?",donkey,
,,,,100,272782,0,That's a baby rhino. Where's the donkey?,donkey,
,,,,101,275917,0,,,selects
,,,,102,277576,0,Baby rhino?,n/a,
,,,,103,279038,0,Where's the duck?,duck,
,,,,104,282642,0,Yeah! Touch it!,duck,
,,,,105,284002,0,,,selects
,,,,106,284580,0,Good job!,n/a,
,,,,107,287402,0,Where's the squirrel?,squirrel,
,,,,108,291278,0,"Yeah, touch it!",squirrel,
,,,,109,293692,0,,,selects
,,,,110,294610,0,Good job,n/a,
,,,,111,296854,0,Where's the horsey?,horse,
,,,,112,300458,0,"Yeah, touch it!",horse,
,,,,113,302294,0,,,selects
,,,,114,305853,0,Where's the rooster? Where's the chicken,rooster,
,,,,115,309196,0,That's not a chicken. Where's the chicken?,rooster,
,,,,116,312324,0,"No, where's the cock-a-doodle-doo?",rooster,
,,,,117,317278,0,Touch it!,rooster,
