ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection
0,15444,0,Apple!,0,12466,0,"OK Avery, can you find the apple?",apple,
1,50094,0,Www,1,15989,16645,Yeah touch the apple,apple,
2,88572,0,Www,2,17160,0,,,selects
3,104016,0,Www,3,17447,0,Uh-uh. Just the apple,apple,
4,121754,0,Www!,4,20740,0,Hit the one that's green,artichoke,
5,133617,0,Www!,5,22638,0,,,selects
6,140844,0,Quack quack,6,24024,0,You found the green artichoke!,n/a,
7,152595,0,Www,7,26862,0,Do you like to eat apples?,n/a,
8,164340,0,Tweet tweet tweet!,8,28281,0,Show me the apple!,apple,
9,168597,0,Www!,9,30195,0,,,selects
10,180816,0,Www,10,30799,0,Find the green artichoke,artichoke,
11,187374,0,Www!,11,33099,0,,,selects
12,209814,0,Www!,12,37587,0,"Here we go! You gotta listen to me, OK? You gonna listen? My turn, and then it's gonna be your turn!",n/a,
13,213939,0,Www,13,49581,0,Where's the cow? Mooo,cow,
14,216810,0,Www,14,51579,0,,,selects
15,221397,0,Www,15,55128,0,Where's the leopard?,leopard,
16,234300,0,Www,16,56133,0,,,selects
17,238429,0,Www,17,56826,0,The leopard has spots! Looks like a cat.,leopard,
18,247830,0,Www!,18,60126,0,Show me the woof-woof,dog,
,,,,19,61083,0,,,selects
,,,,20,62172,0,Woof-woof. Nice job.,n/a,
,,,,21,64680,0,Where's the rhino? With the horn,rhinoceros,
,,,,22,66765,0,,,selects
,,,,23,67914,0,Oh wow!,n/a,
,,,,24,69795,0,Oink oink! Touch oink-oink,pig,
,,,,25,71313,0,,,selects
,,,,26,75075,0,Get the squirrel with the big tail,squirrel,
,,,,27,76560,0,,,selects
,,,,28,79860,80434,Get the www horse!,horse,
,,,,29,81378,0,,,selects
,,,,30,81970,0,Uh oh who was that? It was the cow.,n/a,
,,,,31,85639,0,Where's the donkey?,donkey,
,,,,32,85833,0,,,selects
,,,,33,87117,0,Hee-haw!,n/a,
,,,,34,89430,0,Where's the horsey?,horse,
,,,,35,90711,0,,,selects
,,,,36,91377,0,"Hey, horsey!",n/a,
,,,,37,94017,0,Where's the one that looks like a cat?,leopard,
,,,,38,95370,0,,,selects
,,,,39,96360,0,It's called a leopard!,unknown,
,,,,40,99206,0,Show me where's the -- oh wait wait wait!,n/a,
,,,,41,99561,0,,,selects
,,,,42,100815,0,You gotta listen! You gotta wait for me!,n/a,
,,,,43,103950,0,Where's the lobster? It's red. Lobster,lobster,
,,,,44,107444,0,,,selects
,,,,45,110253,0,Uh-oh! You were touching the lobster!,n/a,
,,,,46,112509,0,[inaudible],fish,
,,,,47,114279,0,,,selects
,,,,48,115566,0,"Hey, fishy fishy",n/a,
,,,,49,118002,0,Where's the blue bird? It's called a peacock,peacock,
,,,,50,120120,0,,,selects
,,,,51,121902,0,Xxx,n/a,
,,,,52,123505,0,Where's the fishy fishy? Fishy fishy,fish,
,,,,53,125862,0,,,selects
,,,,54,126522,0,You have to get the fishy!,n/a,
,,,,55,129888,0,OK find that blue bird again! It's called a peacock,peacock,
,,,,56,132561,0,,,selects
,,,,57,133758,0,Peacock! It goes xxx,n/a,
,,,,58,136818,0,"OK, touch the duck! Quack quack!",duck,
,,,,59,138567,0,,,selects
,,,,60,141339,0,Quack quack,n/a,
,,,,61,142461,0,"Ooh, touch the white bird!",swan,
,,,,62,143385,0,,,selects
,,,,63,145101,0,Thats-- I said the white bird! It's called a swan,n/a,
,,,,64,148698,0,OK where's the elephant? Www,elephant,
,,,,65,150650,0,,,selects
,,,,66,154044,0,Where's the rhino?,rhinoceros,
,,,,67,155100,0,,,selects
,,,,68,156651,0,He has a horn on his nose,n/a,
,,,,69,159159,0,OK where's the bird? Tweet tweet,bird,
,,,,70,161997,0,,,selects
,,,,71,163350,0,Hi bird!,n/a,
,,,,72,165762,0,Uh-oh xxx the rooster! Xxx,rooster,
,,,,73,168036,0,,,selects
,,,,74,171534,0,Where's the doggie?,dog,
,,,,75,173283,0,,,selects
,,,,76,177309,0,Get the raccoon!,raccoon,
,,,,77,178332,0,,,selects
,,,,78,178728,0,"Oooh, raccoon!",n/a,
,,,,79,181632,0,Where's the meow-cat? Touch the cat,cat,
,,,,80,184503,0,,,selects
,,,,81,185394,0,"Hey, cat!",n/a,
,,,,82,187770,0,Where's the swan? The white bird!,swan,
,,,,83,189717,0,,,selects
,,,,84,191136,0,"Uh-oh, that's the leopard",n/a,
,,,,85,193578,0,Xxx. Where's the elephant?,elephant,
,,,,86,195756,0,,,selects
,,,,87,198891,0,Hey wait. Find the lobster. It's red,lobster,
,,,,88,201498,0,,,selects
,,,,89,205821,0,OK find the duck. Quack quack!,duck,
,,,,90,207339,0,,,selects
,,,,91,210375,0,Were you looking for the...?,n/a,
,,,,92,211728,0,OK raccoon!,raccoon,
,,,,93,213873,0,,,selects
,,,,94,217173,0,Where's the piggy? Touch piggy,pig,
,,,,95,218790,0,,,selects
,,,,96,222354,0,Squirrel. He's eating. He has a big tail,squirrel,
,,,,97,226149,0,,,selects
,,,,98,227535,0,That's the squirrel,n/a,
,,,,99,229614,0,Find the cat,cat,
,,,,100,231528,0,,,selects
,,,,101,234828,0,Find the donkey! It looks like a horse!,donkey,
,,,,102,236478,0,,,selects
,,,,103,240405,0,Where's that bird?,bird,
,,,,104,242121,0,,,selects
,,,,105,243144,0,Tweet tweet tweet tweet!,n/a,
,,,,106,245931,0,Where's the rooster?,rooster,
,,,,107,247038,0,,,selects
,,,,108,249282,0,Good job! You're all done!,n/a,
