high,dog,cat,bird
high,duck,fish,elephant
high,cow,horse,pig
high,dog,cat,bird
high,duck,fish,elephant
high,cow,horse,pig
low,peacock,raccoon,squirrel
low,rooster,leopard,swan
low,lobster,rhinoceros,donkey
low,peacock,raccoon,squirrel
low,rooster,leopard,swan
low,lobster,rhinoceros,donkey
