subj,possible_vocab,vocab,type,word,avg_known,understands,ci_lower,ci_upper
1,85,72,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
1,85,72,early,cat,1,TRUE,1,1
1,85,72,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
1,85,72,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
1,85,72,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
1,85,72,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
1,85,72,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
1,85,72,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
1,85,72,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
1,85,72,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
1,85,72,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
1,85,72,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
1,85,72,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
1,85,72,late,rhinoceros,0.4634146341463415,TRUE,0.31242559523809527,0.6216216216216216
1,85,72,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
1,85,72,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
2,85,55,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
2,85,55,early,cat,1,TRUE,1,1
2,85,55,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
2,85,55,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
2,85,55,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
2,85,55,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
2,85,55,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
2,85,55,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
2,85,55,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
2,85,55,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
2,85,55,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
2,85,55,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
2,85,55,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
2,85,55,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
2,85,55,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
2,85,55,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
3,85,65,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
3,85,65,early,cat,1,TRUE,1,1
3,85,65,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
3,85,65,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
3,85,65,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
3,85,65,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
3,85,65,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
3,85,65,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
3,85,65,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
3,85,65,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
3,85,65,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
3,85,65,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
3,85,65,late,raccoon,0.3902439024390244,FALSE,0.23809523809523808,0.5428726708074534
3,85,65,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
3,85,65,late,squirrel,0.6097560975609756,FALSE,0.4594594594594595,0.7576018808777429
3,85,65,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
4,85,79,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
4,85,79,early,cat,1,TRUE,1,1
4,85,79,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
4,85,79,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
4,85,79,late,donkey,0.34146341463414637,TRUE,0.1944220430107527,0.4864864864864865
4,85,79,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
4,85,79,early,elephant,0.8780487804878049,TRUE,0.7735849056603774,0.9714484126984128
4,85,79,early,fish,0.9512195121951219,TRUE,0.878769401330377,1
4,85,79,early,horse,0.9024390243902439,TRUE,0.8,0.9800192307692307
4,85,79,late,leopard,0.21951219512195122,FALSE,0.09085858585858586,0.3571886446886447
4,85,79,late,lobster,0.17073170731707318,FALSE,0.06382978723404255,0.3000757575757575
4,85,79,late,peacock,0.3170731707317073,FALSE,0.1841507177033493,0.4750568181818181
4,85,79,late,raccoon,0.3902439024390244,TRUE,0.23809523809523808,0.5428726708074534
4,85,79,late,rhinoceros,0.4634146341463415,FALSE,0.31242559523809527,0.6216216216216216
4,85,79,late,squirrel,0.6097560975609756,TRUE,0.4594594594594595,0.7576018808777429
4,85,79,late,swan,0.12195121951219512,FALSE,0.02564102564102564,0.23085106382978715
5,85,71,early,bird,0.926829268292683,TRUE,0.8366496598639456,1
5,85,71,early,cat,1,TRUE,1,1
5,85,71,early,cow,0.9512195121951219,TRUE,0.8723404255319149,1
5,85,71,early,dog,0.975609756097561,TRUE,0.9117647058823529,1
5,85,71,late,donkey,0.34146341463414637,FALSE,0.1944220430107527,0.4864864864864865
5,85,71,early,duck,0.926829268292683,TRUE,0.8431114551083592,1
